*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-28 11:06:23:343818" "target: _/experimenter"
"2016-01-28 11:06:23:377108" "target: _/experimenter"
"2016-01-28 11:06:23:410490" "target: _/experimenter"
"2016-01-28 11:06:23:443797" "target: _/experimenter"
"2016-01-28 11:06:23:477123" "target: _/experimenter"
"2016-01-28 11:06:23:510457" "target: _/experimenter"
"2016-01-28 11:06:23:543800" "target: _/experimenter"
"2016-01-28 11:06:23:577131" "target: _/experimenter"
"2016-01-28 11:06:23:610462" "target: _/experimenter"
"2016-01-28 11:06:23:643791" "target: _/experimenter"
"2016-01-28 11:06:23:677121" "target: _/experimenter"
"2016-01-28 11:06:23:710485" "target: _/experimenter"
"2016-01-28 11:06:23:743787" "target: _/experimenter"
"2016-01-28 11:06:23:777150" "target: _/experimenter"
"2016-01-28 11:06:23:810472" "target: _/experimenter"
"2016-01-28 11:06:23:844760" "target: _/experimenter"
"2016-01-28 11:06:23:877110" "target: _/experimenter"
"2016-01-28 11:06:23:910502" "target: _/experimenter"
"2016-01-28 11:06:23:943778" "target: _/experimenter"
"2016-01-28 11:06:23:977134" "target: _/experimenter"
"2016-01-28 11:06:24:010479" "target: _/experimenter"
"2016-01-28 11:06:24:043787" "target: _/experimenter"
"2016-01-28 11:06:24:078729" "target: _/experimenter"
"2016-01-28 11:06:24:114110" "target: _/experimenter"
"2016-01-28 11:06:24:143860" "target: _/experimenter"
"2016-01-28 11:06:24:177140" "target: _/experimenter"
"2016-01-28 11:06:26:410465" "target: _/robot_head"
"2016-01-28 11:06:26:443713" "target: _/robot_head"
"2016-01-28 11:06:26:477078" "target: _/robot_head"
"2016-01-28 11:06:26:510576" "target: _/robot_head"
"2016-01-28 11:06:26:543735" "target: _/robot_head"
"2016-01-28 11:06:26:577099" "target: _/robot_head"
"2016-01-28 11:06:26:610442" "target: _/robot_head"
"2016-01-28 11:06:26:643723" "target: _/robot_head"
"2016-01-28 11:06:26:677075" "target: _/robot_head"
"2016-01-28 11:06:26:710476" "target: _/robot_head"
"2016-01-28 11:06:26:743705" "target: _/robot_head"
"2016-01-28 11:06:26:777045" "target: _/robot_head"
"2016-01-28 11:06:26:810441" "target: _/robot_head"
"2016-01-28 11:06:26:843718" "target: _/robot_head"
"2016-01-28 11:06:26:877046" "target: _/robot_head"
"2016-01-28 11:06:26:910456" "target: _/robot_head"
"2016-01-28 11:06:27:010429" "target: _/robot_head"
"2016-01-28 11:06:27:210416" "target: _/robot_head"
"2016-01-28 11:06:27:243709" "target: _/robot_head"
"2016-01-28 11:06:27:277123" "target: _/robot_head"
"2016-01-28 11:06:27:310408" "target: _/robot_head"
"2016-01-28 11:06:27:343696" "target: _/robot_head"
"2016-01-28 11:06:27:443725" "target: _/robot_head"
"2016-01-28 11:06:27:477149" "target: _/robot_head"
"2016-01-28 11:06:27:543761" "target: _/robot_head"
"2016-01-28 11:06:27:577098" "target: _/robot_head"
"2016-01-28 11:06:27:610477" "target: _/robot_head"
"2016-01-28 11:06:27:643716" "target: _/robot_head"
"2016-01-28 11:06:27:677053" "target: _/robot_head"
"2016-01-28 11:06:36:910416" "target: _/robot_head"
"2016-01-28 11:06:36:943756" "target: _/robot_head"
"2016-01-28 11:06:37:043840" "target: _/robot_head"
"2016-01-28 11:06:37:077214" "target: _/robot_head"
"2016-01-28 11:06:40:010406" "target: _/robot_head"
"2016-01-28 11:06:40:043786" "target: _/robot_head"
"2016-01-28 11:06:54:877080" "target: _/robot_head"
"2016-01-28 11:06:54:910550" "target: _/robot_head"
"2016-01-28 11:06:54:943771" "target: _/robot_head"
"2016-01-28 11:06:54:977112" "target: _/robot_head"
"2016-01-28 11:07:01:543711" "target: _/tablet"
"2016-01-28 11:07:01:577071" "target: _/tablet"
"2016-01-28 11:07:01:611962" "target: _/tablet"
"2016-01-28 11:07:01:643719" "target: _/tablet"
"2016-01-28 11:07:01:677119" "target: _/tablet"
"2016-01-28 11:07:01:710486" "target: _/tablet"
"2016-01-28 11:07:01:743706" "target: _/tablet"
"2016-01-28 11:07:01:777205" "target: _/tablet"
"2016-01-28 11:07:01:810479" "target: _/tablet"
"2016-01-28 11:07:01:843791" "target: _/tablet"
"2016-01-28 11:07:01:877087" "target: _/tablet"
"2016-01-28 11:07:01:910480" "target: _/tablet"
"2016-01-28 11:07:01:943786" "target: _/tablet"
"2016-01-28 11:07:01:977112" "target: _/tablet"
"2016-01-28 11:07:02:010719" "target: _/tablet"
"2016-01-28 11:07:02:043794" "target: _/tablet"
"2016-01-28 11:07:02:077162" "target: _/tablet"
"2016-01-28 11:07:02:110641" "target: _/tablet"
"2016-01-28 11:07:02:143735" "target: _/tablet"
"2016-01-28 11:07:02:177064" "target: _/tablet"
"2016-01-28 11:07:02:210929" "target: _/tablet"
"2016-01-28 11:07:02:243747" "target: _/tablet"
"2016-01-28 11:07:02:277134" "target: _/tablet"
"2016-01-28 11:07:02:310657" "target: _/tablet"
"2016-01-28 11:07:02:343790" "target: _/tablet"
"2016-01-28 11:07:02:377097" "target: _/tablet"
"2016-01-28 11:07:02:410435" "target: _/tablet"
"2016-01-28 11:07:02:443760" "target: _/tablet"
"2016-01-28 11:07:02:477077" "target: _/tablet"
"2016-01-28 11:07:02:511036" "target: _/tablet"
"2016-01-28 11:07:02:543884" "target: _/tablet"
"2016-01-28 11:07:02:577110" "target: _/tablet"
"2016-01-28 11:07:02:610943" "target: _/tablet"
"2016-01-28 11:07:02:643731" "target: _/tablet"
"2016-01-28 11:07:02:677100" "target: _/tablet"
"2016-01-28 11:07:02:710476" "target: _/tablet"
"2016-01-28 11:07:02:743741" "target: _/tablet"
"2016-01-28 11:07:02:777070" "target: _/tablet"
"2016-01-28 11:07:02:810570" "target: _/tablet"
"2016-01-28 11:07:02:843724" "target: _/tablet"
"2016-01-28 11:07:02:877110" "target: _/tablet"
"2016-01-28 11:07:02:910498" "target: _/tablet"
