*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-28 09:25:38:103797" "target: _/selection_tablet"
"2016-01-28 09:25:38:137126" "target: _/selection_tablet"
"2016-01-28 09:25:38:170477" "target: _/selection_tablet"
"2016-01-28 09:25:38:203792" "target: _/selection_tablet"
"2016-01-28 09:25:38:237061" "target: _/selection_tablet"
"2016-01-28 09:25:38:270665" "target: _/selection_tablet"
"2016-01-28 09:25:38:303808" "target: _/selection_tablet"
"2016-01-28 09:25:38:337094" "target: _/selection_tablet"
"2016-01-28 09:25:38:370434" "target: _/selection_tablet"
"2016-01-28 09:25:38:470441" "target: _/selection_tablet"
"2016-01-28 09:25:38:970443" "target: _/selection_tablet"
"2016-01-28 09:25:39:003775" "target: _/selection_tablet"
"2016-01-28 09:25:39:037101" "target: _/selection_tablet"
"2016-01-28 09:25:39:070483" "target: _/selection_tablet"
"2016-01-28 09:25:39:103766" "target: _/selection_tablet"
"2016-01-28 09:25:39:137097" "target: _/selection_tablet"
"2016-01-28 09:25:39:170522" "target: _/selection_tablet"
"2016-01-28 09:25:39:203798" "target: _/selection_tablet"
"2016-01-28 09:25:39:237191" "target: _/selection_tablet"
"2016-01-28 09:25:39:270456" "target: _/selection_tablet"
"2016-01-28 09:25:39:303837" "target: _/selection_tablet"
"2016-01-28 09:25:39:337090" "target: _/selection_tablet"
"2016-01-28 09:25:39:370424" "target: _/selection_tablet"
"2016-01-28 09:25:39:403806" "target: _/selection_tablet"
"2016-01-28 09:25:39:437092" "target: _/selection_tablet"
"2016-01-28 09:25:39:470591" "target: _/selection_tablet"
"2016-01-28 09:25:39:503773" "target: _/selection_tablet"
"2016-01-28 09:25:39:537092" "target: _/selection_tablet"
"2016-01-28 09:25:39:570419" "target: _/selection_tablet"
"2016-01-28 09:25:39:603802" "target: _/selection_tablet"
"2016-01-28 09:25:39:637116" "target: _/selection_tablet"
"2016-01-28 09:25:39:670476" "target: _/selection_tablet"
"2016-01-28 09:25:39:703790" "target: _/selection_tablet"
"2016-01-28 09:25:39:737119" "target: _/selection_tablet"
"2016-01-28 09:25:39:770476" "target: _/selection_tablet"
"2016-01-28 09:25:39:803800" "target: _/selection_tablet"
"2016-01-28 09:25:39:837155" "target: _/selection_tablet"
"2016-01-28 09:25:39:870421" "target: _/selection_tablet"
"2016-01-28 09:25:39:903787" "target: _/selection_tablet"
"2016-01-28 09:25:39:937125" "target: _/selection_tablet"
"2016-01-28 09:25:39:970418" "target: _/selection_tablet"
"2016-01-28 09:25:40:003821" "target: _/selection_tablet"
