*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-26 10:24:32:143105" "withmeness: 0.45"
"2016-01-26 10:24:33:144299" "withmeness: 0.45"
"2016-01-26 10:24:34:145380" "withmeness: 0.45"
"2016-01-26 10:24:35:146610" "withmeness: 0.45"
"2016-01-26 10:24:36:147852" "withmeness: 0.45"
"2016-01-26 10:24:37:148298" "withmeness: 0.45"
"2016-01-26 10:24:38:149488" "withmeness: 0.505"
"2016-01-26 10:24:39:150672" "withmeness: 0.5545"
"2016-01-26 10:24:40:151792" "withmeness: 0.59905"
"2016-01-26 10:24:41:153090" "withmeness: 0.539145"
"2016-01-26 10:24:42:153442" "withmeness: 0.4852305"
"2016-01-26 10:24:43:154663" "withmeness: 0.43670745"
"2016-01-26 10:24:44:155774" "withmeness: 0.393036705"
"2016-01-26 10:24:45:157022" "withmeness: 0.3537330345"
"2016-01-26 10:24:46:158300" "withmeness: 0.3537330345"
"2016-01-26 10:24:47:159331" "withmeness: 0.3537330345"
"2016-01-26 10:24:48:160202" "withmeness: 0.31835973105"
"2016-01-26 10:24:49:161276" "withmeness: 0.31835973105"
"2016-01-26 10:24:50:162462" "withmeness: 0.31835973105"
"2016-01-26 10:24:51:163677" "withmeness: 0.31835973105"
"2016-01-26 10:24:52:163712" "withmeness: 0.31835973105"
"2016-01-26 10:24:53:164917" "withmeness: 0.31835973105"
"2016-01-26 10:24:54:165418" "withmeness: 0.31835973105"
"2016-01-26 10:24:55:166742" "withmeness: 0.31835973105"
"2016-01-26 10:24:56:167749" "withmeness: 0.31835973105"
"2016-01-26 10:24:57:168958" "withmeness: 0.31835973105"
"2016-01-26 10:24:58:169827" "withmeness: 0.31835973105"
"2016-01-26 10:24:59:171076" "withmeness: 0.31835973105"
"2016-01-26 10:25:00:171732" "withmeness: 0.31835973105"
"2016-01-26 10:25:01:172975" "withmeness: 0.31835973105"
"2016-01-26 10:25:02:173252" "withmeness: 0.31835973105"
"2016-01-26 10:25:03:174445" "withmeness: 0.31835973105"
"2016-01-26 10:25:04:174820" "withmeness: 0.31835973105"
"2016-01-26 10:25:05:175777" "withmeness: 0.31835973105"
"2016-01-26 10:25:06:176455" "withmeness: 0.31835973105"
"2016-01-26 10:25:07:176721" "withmeness: 0.31835973105"
"2016-01-26 10:25:08:178297" "withmeness: 0.31835973105"
"2016-01-26 10:25:09:179337" "withmeness: 0.31835973105"
"2016-01-26 10:25:10:179781" "withmeness: 0.31835973105"
"2016-01-26 10:25:11:188174" "withmeness: 0.31835973105"
"2016-01-26 10:25:12:188937" "withmeness: 0.31835973105"
"2016-01-26 10:25:13:190210" "withmeness: 0.31835973105"
"2016-01-26 10:25:14:191542" "withmeness: 0.31835973105"
"2016-01-26 10:25:15:191980" "withmeness: 0.31835973105"
"2016-01-26 10:25:16:193173" "withmeness: 0.31835973105"
"2016-01-26 10:25:17:194347" "withmeness: 0.31835973105"
"2016-01-26 10:25:18:195603" "withmeness: 0.31835973105"
"2016-01-26 10:25:19:196992" "withmeness: 0.31835973105"
"2016-01-26 10:25:20:198195" "withmeness: 0.31835973105"
"2016-01-26 10:25:21:198725" "withmeness: 0.31835973105"
"2016-01-26 10:25:22:199792" "withmeness: 0.31835973105"
"2016-01-26 10:25:23:201009" "withmeness: 0.31835973105"
"2016-01-26 10:25:24:202251" "withmeness: 0.31835973105"
"2016-01-26 10:25:25:202646" "withmeness: 0.31835973105"
"2016-01-26 10:25:26:202870" "withmeness: 0.31835973105"
"2016-01-26 10:25:27:203367" "withmeness: 0.31835973105"
