*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-25 10:25:49:350995" "target: _/tablet"
"2016-01-25 10:25:49:384233" "target: _/tablet"
"2016-01-25 10:26:11:784223" "target: _/tablet"
"2016-01-25 10:26:11:817549" "target: _/tablet"
"2016-01-25 10:26:11:851085" "target: _/tablet"
"2016-01-25 10:26:11:884220" "target: _/tablet"
"2016-01-25 10:26:11:917544" "target: _/tablet"
"2016-01-25 10:26:11:951112" "target: _/tablet"
"2016-01-25 10:26:11:984238" "target: _/tablet"
"2016-01-25 10:26:12:017555" "target: _/tablet"
"2016-01-25 10:26:12:051079" "target: _/tablet"
"2016-01-25 10:26:12:084233" "target: _/tablet"
"2016-01-25 10:26:12:117541" "target: _/tablet"
"2016-01-25 10:26:12:151110" "target: _/tablet"
"2016-01-25 10:26:12:184242" "target: _/tablet"
"2016-01-25 10:26:12:217544" "target: _/tablet"
"2016-01-25 10:26:12:251090" "target: _/tablet"
"2016-01-25 10:26:13:584217" "target: _/tablet"
"2016-01-25 10:26:14:750971" "target: _/selection_tablet"
"2016-01-25 10:26:14:784232" "target: _/selection_tablet"
"2016-01-25 10:26:14:817563" "target: _/selection_tablet"
"2016-01-25 10:26:14:851083" "target: _/selection_tablet"
"2016-01-25 10:26:14:984228" "target: _/tablet"
"2016-01-25 10:26:15:017603" "target: _/tablet"
"2016-01-25 10:26:15:051092" "target: _/tablet"
"2016-01-25 10:26:18:584286" "target: _/tablet"
"2016-01-25 10:26:18:617595" "target: _/tablet"
"2016-01-25 10:26:18:651192" "target: _/tablet"
"2016-01-25 10:26:18:684284" "target: _/tablet"
"2016-01-25 10:26:18:717583" "target: _/tablet"
"2016-01-25 10:26:18:750984" "target: _/tablet"
"2016-01-25 10:26:18:784286" "target: _/tablet"
"2016-01-25 10:26:18:817561" "target: _/tablet"
"2016-01-25 10:26:23:851079" "target: _/tablet"
"2016-01-25 10:26:23:884250" "target: _/selection_tablet"
"2016-01-25 10:26:23:917609" "target: _/selection_tablet"
"2016-01-25 10:26:23:951082" "target: _/selection_tablet"
