*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-25 14:14:00:956371" "withmeness: 0.5"
"2016-01-25 14:14:01:957610" "withmeness: 0.5"
"2016-01-25 14:14:02:958910" "withmeness: 0.5"
"2016-01-25 14:14:03:959787" "withmeness: 0.5"
"2016-01-25 14:14:04:960608" "withmeness: 0.5"
"2016-01-25 14:14:05:961826" "withmeness: 0.5"
"2016-01-25 14:14:06:963040" "withmeness: 0.5"
"2016-01-25 14:14:07:964248" "withmeness: 0.5"
"2016-01-25 14:14:08:965503" "withmeness: 0.5"
"2016-01-25 14:14:09:966699" "withmeness: 0.5"
"2016-01-25 14:14:10:967351" "withmeness: 0.5"
"2016-01-25 14:14:11:968052" "withmeness: 0.5"
"2016-01-25 14:14:12:969293" "withmeness: 0.5"
"2016-01-25 14:14:13:970297" "withmeness: 0.5"
"2016-01-25 14:14:14:971767" "withmeness: 0.5"
"2016-01-25 14:14:15:972515" "withmeness: 0.5"
"2016-01-25 14:14:16:973437" "withmeness: 0.5"
"2016-01-25 14:14:17:974566" "withmeness: 0.5"
"2016-01-25 14:14:18:975491" "withmeness: 0.5"
"2016-01-25 14:14:19:976709" "withmeness: 0.5"
"2016-01-25 14:14:20:977928" "withmeness: 0.5"
"2016-01-25 14:14:21:978920" "withmeness: 0.5"
"2016-01-25 14:14:22:980213" "withmeness: 0.5"
"2016-01-25 14:14:23:981344" "withmeness: 0.5"
"2016-01-25 14:14:24:982529" "withmeness: 0.5"
"2016-01-25 14:14:25:983760" "withmeness: 0.55"
"2016-01-25 14:14:26:984994" "withmeness: 0.55"
"2016-01-25 14:14:27:986229" "withmeness: 0.595"
"2016-01-25 14:14:28:987421" "withmeness: 0.595"
"2016-01-25 14:14:29:988699" "withmeness: 0.595"
"2016-01-25 14:14:30:989912" "withmeness: 0.595"
"2016-01-25 14:14:31:990428" "withmeness: 0.595"
"2016-01-25 14:14:32:991581" "withmeness: 0.595"
"2016-01-25 14:14:33:992198" "withmeness: 0.595"
"2016-01-25 14:14:34:993482" "withmeness: 0.595"
"2016-01-25 14:14:35:994522" "withmeness: 0.595"
"2016-01-25 14:14:36:995659" "withmeness: 0.595"
"2016-01-25 14:14:37:996909" "withmeness: 0.595"
"2016-01-25 14:14:38:998212" "withmeness: 0.595"
"2016-01-25 14:14:39:998553" "withmeness: 0.595"
"2016-01-25 14:14:40:999732" "withmeness: 0.595"
"2016-01-25 14:14:42:000944" "withmeness: 0.595"
"2016-01-25 14:14:43:002201" "withmeness: 0.595"
"2016-01-25 14:14:44:003419" "withmeness: 0.595"
"2016-01-25 14:14:45:003774" "withmeness: 0.595"
"2016-01-25 14:14:46:004933" "withmeness: 0.6355"
"2016-01-25 14:14:47:006203" "withmeness: 0.67195"
"2016-01-25 14:14:48:007245" "withmeness: 0.704755"
"2016-01-25 14:14:49:008506" "withmeness: 0.6342795"
"2016-01-25 14:14:50:009358" "withmeness: 0.6342795"
"2016-01-25 14:14:51:010869" "withmeness: 0.67085155"
"2016-01-25 14:14:52:011883" "withmeness: 0.703766395"
"2016-01-25 14:14:53:013563" "withmeness: 0.7333897555"
"2016-01-25 14:14:54:014664" "withmeness: 0.7333897555"
"2016-01-25 14:14:55:015596" "withmeness: 0.7333897555"
"2016-01-25 14:14:56:016813" "withmeness: 0.7333897555"
"2016-01-25 14:14:57:018099" "withmeness: 0.7333897555"
"2016-01-25 14:14:58:019045" "withmeness: 0.76005077995"
"2016-01-25 14:14:59:019763" "withmeness: 0.76005077995"
"2016-01-25 14:15:00:020938" "withmeness: 0.76005077995"
"2016-01-25 14:15:01:021680" "withmeness: 0.76005077995"
"2016-01-25 14:15:02:022066" "withmeness: 0.76005077995"
"2016-01-25 14:15:03:023289" "withmeness: 0.784045701955"
"2016-01-25 14:15:04:024373" "withmeness: 0.805641131759"
"2016-01-25 14:15:05:025601" "withmeness: 0.805641131759"
"2016-01-25 14:15:06:027179" "withmeness: 0.805641131759"
"2016-01-25 14:15:07:027570" "withmeness: 0.805641131759"
"2016-01-25 14:15:08:029378" "withmeness: 0.805641131759"
"2016-01-25 14:15:09:030404" "withmeness: 0.805641131759"
"2016-01-25 14:15:10:031477" "withmeness: 0.805641131759"
"2016-01-25 14:15:11:032745" "withmeness: 0.805641131759"
"2016-01-25 14:15:12:034025" "withmeness: 0.805641131759"
"2016-01-25 14:15:13:034874" "withmeness: 0.825077018584"
"2016-01-25 14:15:14:036059" "withmeness: 0.842569316725"
"2016-01-25 14:15:15:037406" "withmeness: 0.842569316725"
