*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-26 08:39:02:566988" "withmeness: 0.5"
"2016-01-26 08:39:03:567871" "withmeness: 0.5"
"2016-01-26 08:39:04:569064" "withmeness: 0.5"
"2016-01-26 08:39:05:570317" "withmeness: 0.5"
"2016-01-26 08:39:06:571578" "withmeness: 0.5"
"2016-01-26 08:39:07:572823" "withmeness: 0.5"
"2016-01-26 08:39:08:574059" "withmeness: 0.5"
"2016-01-26 08:39:09:575368" "withmeness: 0.5"
"2016-01-26 08:39:10:576541" "withmeness: 0.5"
"2016-01-26 08:39:11:577019" "withmeness: 0.5"
"2016-01-26 08:39:12:578447" "withmeness: 0.5"
"2016-01-26 08:39:13:579608" "withmeness: 0.5"
"2016-01-26 08:39:14:580074" "withmeness: 0.5"
"2016-01-26 08:39:15:581132" "withmeness: 0.5"
"2016-01-26 08:39:16:582166" "withmeness: 0.5"
"2016-01-26 08:39:17:583010" "withmeness: 0.5"
"2016-01-26 08:39:18:583928" "withmeness: 0.5"
"2016-01-26 08:39:19:584665" "withmeness: 0.5"
"2016-01-26 08:39:20:585178" "withmeness: 0.5"
"2016-01-26 08:39:21:586383" "withmeness: 0.5"
"2016-01-26 08:39:22:587633" "withmeness: 0.5"
"2016-01-26 08:39:23:588793" "withmeness: 0.5"
"2016-01-26 08:39:24:590130" "withmeness: 0.5"
"2016-01-26 08:39:25:591312" "withmeness: 0.5"
"2016-01-26 08:39:26:592112" "withmeness: 0.5"
"2016-01-26 08:39:27:593340" "withmeness: 0.5"
"2016-01-26 08:39:28:594303" "withmeness: 0.5"
"2016-01-26 08:39:29:595312" "withmeness: 0.5"
"2016-01-26 08:39:30:596525" "withmeness: 0.5"
"2016-01-26 08:39:31:597734" "withmeness: 0.5"
"2016-01-26 08:39:32:598940" "withmeness: 0.5"
"2016-01-26 08:39:33:600052" "withmeness: 0.5"
"2016-01-26 08:39:34:601302" "withmeness: 0.5"
"2016-01-26 08:39:35:602179" "withmeness: 0.5"
"2016-01-26 08:39:36:603879" "withmeness: 0.5"
"2016-01-26 08:39:37:604292" "withmeness: 0.5"
"2016-01-26 08:39:38:605349" "withmeness: 0.5"
"2016-01-26 08:39:39:606483" "withmeness: 0.5"
"2016-01-26 08:39:40:607454" "withmeness: 0.5"
"2016-01-26 08:39:41:607789" "withmeness: 0.5"
"2016-01-26 08:39:42:608483" "withmeness: 0.5"
"2016-01-26 08:39:43:609106" "withmeness: 0.5"
"2016-01-26 08:39:44:610452" "withmeness: 0.5"
"2016-01-26 08:39:45:610815" "withmeness: 0.5"
"2016-01-26 08:39:46:611445" "withmeness: 0.5"
"2016-01-26 08:39:47:612707" "withmeness: 0.5"
"2016-01-26 08:39:48:613355" "withmeness: 0.5"
"2016-01-26 08:39:49:614206" "withmeness: 0.5"
"2016-01-26 08:39:50:615441" "withmeness: 0.5"
"2016-01-26 08:39:51:616444" "withmeness: 0.5"
"2016-01-26 08:39:52:617240" "withmeness: 0.45"
"2016-01-26 08:39:53:618256" "withmeness: 0.405"
"2016-01-26 08:39:54:618679" "withmeness: 0.405"
"2016-01-26 08:39:55:619801" "withmeness: 0.405"
"2016-01-26 08:39:56:620950" "withmeness: 0.405"
"2016-01-26 08:39:57:621580" "withmeness: 0.405"
"2016-01-26 08:39:58:622359" "withmeness: 0.405"
"2016-01-26 08:39:59:623001" "withmeness: 0.405"
"2016-01-26 08:40:00:624260" "withmeness: 0.405"
"2016-01-26 08:40:01:625560" "withmeness: 0.405"
"2016-01-26 08:40:02:626741" "withmeness: 0.405"
"2016-01-26 08:40:03:627972" "withmeness: 0.3645"
"2016-01-26 08:40:04:629280" "withmeness: 0.3645"
"2016-01-26 08:40:05:630778" "withmeness: 0.3645"
"2016-01-26 08:40:06:632059" "withmeness: 0.3645"
"2016-01-26 08:40:07:633313" "withmeness: 0.3645"
"2016-01-26 08:40:08:634586" "withmeness: 0.3645"
"2016-01-26 08:40:09:635932" "withmeness: 0.3645"
"2016-01-26 08:40:10:637096" "withmeness: 0.3645"
"2016-01-26 08:40:11:638354" "withmeness: 0.3645"
"2016-01-26 08:40:12:639610" "withmeness: 0.3645"
"2016-01-26 08:40:13:640799" "withmeness: 0.3645"
"2016-01-26 08:40:14:642064" "withmeness: 0.3645"
"2016-01-26 08:40:15:642934" "withmeness: 0.3645"
"2016-01-26 08:40:16:643935" "withmeness: 0.3645"
"2016-01-26 08:40:17:645204" "withmeness: 0.3645"
"2016-01-26 08:40:18:646402" "withmeness: 0.3645"
"2016-01-26 08:40:19:647621" "withmeness: 0.3645"
"2016-01-26 08:40:20:648872" "withmeness: 0.3645"
"2016-01-26 08:40:21:649515" "withmeness: 0.3645"
"2016-01-26 08:40:22:650630" "withmeness: 0.3645"
"2016-01-26 08:40:23:651514" "withmeness: 0.3645"
"2016-01-26 08:40:24:651813" "withmeness: 0.3645"
"2016-01-26 08:40:25:652307" "withmeness: 0.3645"
"2016-01-26 08:40:26:653072" "withmeness: 0.3645"
"2016-01-26 08:40:27:654338" "withmeness: 0.3645"
"2016-01-26 08:40:28:655632" "withmeness: 0.3645"
"2016-01-26 08:40:29:656880" "withmeness: 0.3645"
"2016-01-26 08:40:30:658184" "withmeness: 0.3645"
"2016-01-26 08:40:31:659314" "withmeness: 0.3645"
"2016-01-26 08:40:32:659751" "withmeness: 0.3645"
"2016-01-26 08:40:33:660457" "withmeness: 0.3645"
"2016-01-26 08:40:34:661735" "withmeness: 0.3645"
"2016-01-26 08:40:35:662961" "withmeness: 0.32805"
"2016-01-26 08:40:36:663769" "withmeness: 0.32805"
"2016-01-26 08:40:37:665056" "withmeness: 0.32805"
"2016-01-26 08:40:38:665992" "withmeness: 0.295245"
"2016-01-26 08:40:39:667357" "withmeness: 0.2657205"
"2016-01-26 08:40:40:667818" "withmeness: 0.2657205"
"2016-01-26 08:40:41:669090" "withmeness: 0.23914845"
"2016-01-26 08:40:42:670366" "withmeness: 0.215233605"
"2016-01-26 08:40:43:671553" "withmeness: 0.1937102445"
"2016-01-26 08:40:44:672790" "withmeness: 0.17433922005"
"2016-01-26 08:40:45:673985" "withmeness: 0.156905298045"
"2016-01-26 08:40:46:675454" "withmeness: 0.141214768241"
"2016-01-26 08:40:47:676211" "withmeness: 0.141214768241"
"2016-01-26 08:40:48:677155" "withmeness: 0.141214768241"
"2016-01-26 08:40:49:677217" "withmeness: 0.141214768241"
"2016-01-26 08:40:50:677451" "withmeness: 0.141214768241"
"2016-01-26 08:40:51:678746" "withmeness: 0.141214768241"
"2016-01-26 08:40:52:679743" "withmeness: 0.141214768241"
"2016-01-26 08:40:53:680625" "withmeness: 0.141214768241"
"2016-01-26 08:40:54:681873" "withmeness: 0.141214768241"
"2016-01-26 08:40:55:683427" "withmeness: 0.141214768241"
"2016-01-26 08:40:56:683897" "withmeness: 0.141214768241"
"2016-01-26 08:40:57:685060" "withmeness: 0.141214768241"
"2016-01-26 08:40:58:686298" "withmeness: 0.141214768241"
"2016-01-26 08:40:59:688187" "withmeness: 0.141214768241"
"2016-01-26 08:41:00:688739" "withmeness: 0.141214768241"
"2016-01-26 08:41:01:689943" "withmeness: 0.141214768241"
"2016-01-26 08:41:02:690372" "withmeness: 0.141214768241"
"2016-01-26 08:41:03:690726" "withmeness: 0.141214768241"
"2016-01-26 08:41:04:691866" "withmeness: 0.141214768241"
"2016-01-26 08:41:05:692156" "withmeness: 0.141214768241"
"2016-01-26 08:41:06:693424" "withmeness: 0.141214768241"
"2016-01-26 08:41:07:694895" "withmeness: 0.141214768241"
"2016-01-26 08:41:08:695930" "withmeness: 0.141214768241"
"2016-01-26 08:41:09:696868" "withmeness: 0.141214768241"
"2016-01-26 08:41:10:698109" "withmeness: 0.141214768241"
"2016-01-26 08:41:11:699366" "withmeness: 0.141214768241"
"2016-01-26 08:41:12:701026" "withmeness: 0.141214768241"
"2016-01-26 08:41:13:701889" "withmeness: 0.141214768241"
"2016-01-26 08:41:14:703190" "withmeness: 0.141214768241"
"2016-01-26 08:41:15:704415" "withmeness: 0.141214768241"
"2016-01-26 08:41:16:705744" "withmeness: 0.141214768241"
"2016-01-26 08:41:17:706964" "withmeness: 0.141214768241"
"2016-01-26 08:41:18:707810" "withmeness: 0.141214768241"
"2016-01-26 08:41:19:708489" "withmeness: 0.141214768241"
"2016-01-26 08:41:20:709777" "withmeness: 0.141214768241"
"2016-01-26 08:41:21:710322" "withmeness: 0.141214768241"
"2016-01-26 08:41:22:711522" "withmeness: 0.141214768241"
"2016-01-26 08:41:23:712184" "withmeness: 0.141214768241"
"2016-01-26 08:41:24:713915" "withmeness: 0.141214768241"
"2016-01-26 08:41:25:714573" "withmeness: 0.141214768241"
"2016-01-26 08:41:26:715807" "withmeness: 0.141214768241"
"2016-01-26 08:41:27:717101" "withmeness: 0.141214768241"
"2016-01-26 08:41:28:718266" "withmeness: 0.141214768241"
"2016-01-26 08:41:29:719468" "withmeness: 0.141214768241"
"2016-01-26 08:41:30:719839" "withmeness: 0.141214768241"
"2016-01-26 08:41:31:720530" "withmeness: 0.141214768241"
"2016-01-26 08:41:32:722350" "withmeness: 0.141214768241"
"2016-01-26 08:41:33:723073" "withmeness: 0.141214768241"
"2016-01-26 08:41:34:723822" "withmeness: 0.141214768241"
"2016-01-26 08:41:35:727097" "withmeness: 0.141214768241"
"2016-01-26 08:41:36:728220" "withmeness: 0.141214768241"
"2016-01-26 08:41:37:729427" "withmeness: 0.141214768241"
"2016-01-26 08:41:38:730756" "withmeness: 0.141214768241"
"2016-01-26 08:41:39:731073" "withmeness: 0.141214768241"
"2016-01-26 08:41:40:731781" "withmeness: 0.141214768241"
"2016-01-26 08:41:41:733047" "withmeness: 0.141214768241"
"2016-01-26 08:41:42:734270" "withmeness: 0.141214768241"
"2016-01-26 08:41:43:735355" "withmeness: 0.141214768241"
"2016-01-26 08:41:44:735779" "withmeness: 0.141214768241"
"2016-01-26 08:41:45:737015" "withmeness: 0.141214768241"
"2016-01-26 08:41:46:737964" "withmeness: 0.141214768241"
"2016-01-26 08:41:47:738955" "withmeness: 0.141214768241"
"2016-01-26 08:41:48:740265" "withmeness: 0.141214768241"
"2016-01-26 08:41:49:740744" "withmeness: 0.141214768241"
"2016-01-26 08:41:50:742088" "withmeness: 0.141214768241"
"2016-01-26 08:41:51:743274" "withmeness: 0.141214768241"
"2016-01-26 08:41:52:743974" "withmeness: 0.141214768241"
"2016-01-26 08:41:53:745225" "withmeness: 0.141214768241"
"2016-01-26 08:41:54:746406" "withmeness: 0.141214768241"
"2016-01-26 08:41:55:746996" "withmeness: 0.141214768241"
"2016-01-26 08:41:56:748213" "withmeness: 0.141214768241"
"2016-01-26 08:41:57:749576" "withmeness: 0.141214768241"
"2016-01-26 08:41:58:750797" "withmeness: 0.141214768241"
"2016-01-26 08:41:59:751846" "withmeness: 0.141214768241"
"2016-01-26 08:42:00:753086" "withmeness: 0.141214768241"
"2016-01-26 08:42:01:754392" "withmeness: 0.141214768241"
"2016-01-26 08:42:02:754878" "withmeness: 0.141214768241"
"2016-01-26 08:42:03:755817" "withmeness: 0.141214768241"
"2016-01-26 08:42:04:757045" "withmeness: 0.141214768241"
"2016-01-26 08:42:05:758296" "withmeness: 0.141214768241"
"2016-01-26 08:42:06:759684" "withmeness: 0.141214768241"
"2016-01-26 08:42:07:760854" "withmeness: 0.141214768241"
"2016-01-26 08:42:08:761638" "withmeness: 0.141214768241"
"2016-01-26 08:42:09:762859" "withmeness: 0.141214768241"
"2016-01-26 08:42:10:763799" "withmeness: 0.141214768241"
"2016-01-26 08:42:11:765022" "withmeness: 0.141214768241"
"2016-01-26 08:42:12:765876" "withmeness: 0.141214768241"
"2016-01-26 08:42:13:767076" "withmeness: 0.141214768241"
"2016-01-26 08:42:14:768303" "withmeness: 0.227093291416"
"2016-01-26 08:42:15:769537" "withmeness: 0.304383962275"
"2016-01-26 08:42:16:770731" "withmeness: 0.304383962275"
"2016-01-26 08:42:17:771849" "withmeness: 0.373945566047"
"2016-01-26 08:42:18:773103" "withmeness: 0.436551009443"
"2016-01-26 08:42:19:774494" "withmeness: 0.436551009443"
"2016-01-26 08:42:20:775636" "withmeness: 0.436551009443"
"2016-01-26 08:42:21:777082" "withmeness: 0.436551009443"
"2016-01-26 08:42:22:778346" "withmeness: 0.492895908498"
"2016-01-26 08:42:23:779033" "withmeness: 0.492895908498"
"2016-01-26 08:42:24:780242" "withmeness: 0.492895908498"
"2016-01-26 08:42:25:781039" "withmeness: 0.492895908498"
"2016-01-26 08:42:26:787824" "withmeness: 0.492895908498"
"2016-01-26 08:42:27:783487" "withmeness: 0.492895908498"
"2016-01-26 08:42:28:783869" "withmeness: 0.492895908498"
"2016-01-26 08:42:29:784493" "withmeness: 0.492895908498"
"2016-01-26 08:42:30:788203" "withmeness: 0.492895908498"
"2016-01-26 08:42:31:788478" "withmeness: 0.492895908498"
"2016-01-26 08:42:32:788689" "withmeness: 0.492895908498"
"2016-01-26 08:42:33:789949" "withmeness: 0.492895908498"
"2016-01-26 08:42:34:791168" "withmeness: 0.492895908498"
"2016-01-26 08:42:35:792233" "withmeness: 0.492895908498"
"2016-01-26 08:42:36:793184" "withmeness: 0.492895908498"
"2016-01-26 08:42:37:794389" "withmeness: 0.492895908498"
"2016-01-26 08:42:38:795340" "withmeness: 0.492895908498"
"2016-01-26 08:42:39:796522" "withmeness: 0.492895908498"
"2016-01-26 08:42:40:798174" "withmeness: 0.492895908498"
"2016-01-26 08:42:41:799564" "withmeness: 0.492895908498"
"2016-01-26 08:42:42:800896" "withmeness: 0.492895908498"
"2016-01-26 08:42:43:802128" "withmeness: 0.492895908498"
"2016-01-26 08:42:44:803399" "withmeness: 0.492895908498"
"2016-01-26 08:42:45:803813" "withmeness: 0.492895908498"
"2016-01-26 08:42:46:805042" "withmeness: 0.492895908498"
"2016-01-26 08:42:47:806294" "withmeness: 0.492895908498"
"2016-01-26 08:42:48:807537" "withmeness: 0.492895908498"
"2016-01-26 08:42:49:827879" "withmeness: 0.492895908498"
"2016-01-26 08:42:50:829045" "withmeness: 0.492895908498"
"2016-01-26 08:42:51:830250" "withmeness: 0.492895908498"
"2016-01-26 08:42:52:831492" "withmeness: 0.492895908498"
"2016-01-26 08:42:53:832690" "withmeness: 0.492895908498"
"2016-01-26 08:42:54:833545" "withmeness: 0.492895908498"
"2016-01-26 08:42:55:834710" "withmeness: 0.492895908498"
"2016-01-26 08:42:56:835968" "withmeness: 0.492895908498"
"2016-01-26 08:42:57:837126" "withmeness: 0.492895908498"
"2016-01-26 08:42:58:838358" "withmeness: 0.492895908498"
"2016-01-26 08:42:59:839601" "withmeness: 0.492895908498"
"2016-01-26 08:43:00:840807" "withmeness: 0.492895908498"
"2016-01-26 08:43:01:841188" "withmeness: 0.492895908498"
"2016-01-26 08:43:02:842408" "withmeness: 0.492895908498"
"2016-01-26 08:43:03:842804" "withmeness: 0.492895908498"
"2016-01-26 08:43:04:843889" "withmeness: 0.492895908498"
"2016-01-26 08:43:05:845178" "withmeness: 0.492895908498"
"2016-01-26 08:43:06:846338" "withmeness: 0.543606317648"
"2016-01-26 08:43:07:847575" "withmeness: 0.543606317648"
"2016-01-26 08:43:08:848976" "withmeness: 0.543606317648"
"2016-01-26 08:43:09:849447" "withmeness: 0.543606317648"
"2016-01-26 08:43:10:849787" "withmeness: 0.543606317648"
"2016-01-26 08:43:11:850821" "withmeness: 0.543606317648"
"2016-01-26 08:43:12:868388" "withmeness: 0.543606317648"
"2016-01-26 08:43:13:869438" "withmeness: 0.543606317648"
"2016-01-26 08:43:14:870634" "withmeness: 0.543606317648"
"2016-01-26 08:43:15:871879" "withmeness: 0.543606317648"
"2016-01-26 08:43:16:872812" "withmeness: 0.589245685884"
"2016-01-26 08:43:17:873848" "withmeness: 0.630321117295"
"2016-01-26 08:43:18:875120" "withmeness: 0.630321117295"
"2016-01-26 08:43:19:876305" "withmeness: 0.630321117295"
"2016-01-26 08:43:20:877471" "withmeness: 0.630321117295"
"2016-01-26 08:43:21:878492" "withmeness: 0.630321117295"
"2016-01-26 08:43:22:879716" "withmeness: 0.630321117295"
"2016-01-26 08:43:23:880236" "withmeness: 0.630321117295"
"2016-01-26 08:43:24:881492" "withmeness: 0.630321117295"
"2016-01-26 08:43:25:882964" "withmeness: 0.630321117295"
"2016-01-26 08:43:26:884241" "withmeness: 0.630321117295"
"2016-01-26 08:43:27:885479" "withmeness: 0.630321117295"
"2016-01-26 08:43:28:886665" "withmeness: 0.630321117295"
"2016-01-26 08:43:29:908274" "withmeness: 0.630321117295"
"2016-01-26 08:43:30:909065" "withmeness: 0.630321117295"
"2016-01-26 08:43:31:910584" "withmeness: 0.630321117295"
"2016-01-26 08:43:32:911742" "withmeness: 0.630321117295"
"2016-01-26 08:43:33:912851" "withmeness: 0.630321117295"
"2016-01-26 08:43:34:914178" "withmeness: 0.630321117295"
"2016-01-26 08:43:35:915331" "withmeness: 0.630321117295"
"2016-01-26 08:43:36:916868" "withmeness: 0.630321117295"
"2016-01-26 08:43:37:918140" "withmeness: 0.630321117295"
"2016-01-26 08:43:38:919331" "withmeness: 0.630321117295"
"2016-01-26 08:43:39:919828" "withmeness: 0.630321117295"
"2016-01-26 08:43:40:921066" "withmeness: 0.630321117295"
"2016-01-26 08:43:41:922300" "withmeness: 0.630321117295"
"2016-01-26 08:43:42:923536" "withmeness: 0.630321117295"
"2016-01-26 08:43:43:923850" "withmeness: 0.630321117295"
"2016-01-26 08:43:44:925057" "withmeness: 0.630321117295"
"2016-01-26 08:43:45:926300" "withmeness: 0.630321117295"
"2016-01-26 08:43:46:947848" "withmeness: 0.630321117295"
"2016-01-26 08:43:47:950558" "withmeness: 0.630321117295"
"2016-01-26 08:43:48:951908" "withmeness: 0.630321117295"
"2016-01-26 08:43:49:953152" "withmeness: 0.630321117295"
"2016-01-26 08:43:50:954357" "withmeness: 0.630321117295"
"2016-01-26 08:43:51:955572" "withmeness: 0.630321117295"
"2016-01-26 08:43:52:956787" "withmeness: 0.630321117295"
"2016-01-26 08:43:53:958034" "withmeness: 0.630321117295"
"2016-01-26 08:43:54:965557" "withmeness: 0.630321117295"
"2016-01-26 08:43:55:974448" "withmeness: 0.630321117295"
"2016-01-26 08:43:56:980254" "withmeness: 0.630321117295"
