


"2016-01-28 10:34:26:111792" word:pillow
"2016-01-28 10:34:30:567522" clearscreen
"2016-01-28 10:34:48:696783" repetition:1
"2016-01-28 10:34:58:164356" user_feedback:-
"2016-01-28 10:35:26:401104" timeResponse:17254.0
"2016-01-28 10:35:26:402948" writeTime:18516.0
"2016-01-28 10:35:27:504803" timeResponse:17254.0
"2016-01-28 10:35:27:505009" writeTime:18516.0
"2016-01-28 10:35:27:839193" timeResponse:17254.0
"2016-01-28 10:35:27:839714" writeTime:18516.0
"2016-01-28 10:35:28:090237" writeTime:18516.0
"2016-01-28 10:35:28:090825" timeResponse:17254.0
"2016-01-28 10:35:28:517294" timeResponse:17254.0
"2016-01-28 10:35:28:517435" writeTime:18516.0
