


"2016-01-28 14:05:12:761699" word:honey
"2016-01-28 14:05:16:669765" clearscreen
"2016-01-28 14:05:32:801634" repetition:1
"2016-01-28 14:06:32:194891" timeResponse:17430.0
"2016-01-28 14:06:32:195408" writeTime:34794.0
"2016-01-28 14:06:36:202101" learn:h "(0.012407663278281689, 0.012245207093656063, 0.006113419309258461, 0.0054081520065665245, 0.006713674869388342, 0.005987015087157488, 0.006396003067493439, 0.006149702705442905, 0.008428609929978848, 0.012326926924288273, 0.022222954779863358, 0.031238244846463203, 0.03915261849761009, 0.052249133586883545, 0.059441253542900085, 0.06618962436914444, 0.07871502637863159, 0.08450552821159363, 0.08648526668548584, 0.0861012414097786, 0.0861584022641182, 0.08187699317932129, 0.07820793241262436, 0.0772373378276825, 0.0762549489736557, 0.07230933755636215, 0.0732814148068428, 0.07691232115030289, 0.07705660909414291, 0.07345963269472122, 0.07411588728427887, 0.07703085243701935, 0.08229291439056396, 0.08285105973482132, 0.08451452851295471, 0.06201736256480217, 0.0628298670053482, 0.03575041517615318, 0.03991570696234703, 0.044018737971782684, 0.045901600271463394, 0.048919983208179474, 0.05355577915906906, 0.0645802840590477, 0.08181285858154297, 0.09864270687103271, 0.11735343188047409, 0.1403196156024933, 0.16422729194164276, 0.18575291335582733, 0.2093353569507599, 0.23628856241703033, 0.26349109411239624, 0.29001158475875854, 0.30765464901924133, 0.31862762570381165, 0.3226390779018402, 0.32117870450019836, 0.3168066740036011, 0.32003653049468994, 0.31280478835105896, 0.30552223324775696, 0.29987797141075134, 0.2898637652397156, 0.2837717533111572, 0.27695232629776, 0.27501603960990906, 0.2796696126461029, 0.30675625801086426, 0.3599776029586792, 0.47071102261543274, 0.4794881343841553, 0.48652634024620056, 0.4867814779281616, 0.48884257674217224, 0.49225878715515137, 0.4892943799495697, 0.4867805242538452, 0.4813618063926697, 0.47301211953163147, 0.47328799962997437, 0.4679522216320038, 0.4672011435031891, 0.46246933937072754, 0.4553086459636688, 0.4533616006374359, 0.4610428214073181, 0.4416862726211548, 0.43138840794563293, 0.4202621877193451, 0.4141196608543396, 0.41453465819358826, 0.4216918349266052, 0.42626479268074036, 0.42876332998275757, 0.4352068603038788, 0.4408615827560425, 0.44750043749809265, 0.4558871388435364, 0.46824514865875244, 0.4757300615310669, 0.48144078254699707, 0.488180011510849, 0.4925955533981323, 0.5007579326629639, 0.5773381590843201, 0.5815593600273132, 0.7810264825820923, 0.7659276127815247, 0.7489758729934692, 0.7708836793899536, 0.7553852200508118, 0.7346526980400085, 0.7111866474151611, 0.6923210024833679, 0.6749585866928101, 0.6504031419754028, 0.6224168539047241, 0.5889367461204529, 0.5763176679611206, 0.5660223364830017, 0.5594151020050049, 0.5619521141052246, 0.5759732723236084, 0.6017541289329529, 0.6348574161529541, 0.67327880859375, 0.7151132822036743, 0.7573017477989197, 0.7909305691719055, 0.8262180089950562, 0.8568220138549805, 0.8841728568077087, 0.9071450233459473, 0.9229484796524048, 0.9410732388496399, 0.9603011012077332, 0.9804767966270447, 0.990961492061615, 0.9816345572471619)"
"2016-01-28 14:06:36:202665" demo:h "(0.0551418699324131, 0.055151909589767456, 0.05517199635505676, 0.05506151542067528, 0.05506151542067528, 0.05504142865538597, 0.05501129478216171, 0.05493094399571419, 0.05491085350513458, 0.05483050271868706, 0.05483050271868706, 0.05475015193223953, 0.05475015193223953, 0.054720018059015274, 0.054689887911081314, 0.054659754037857056, 0.05463966354727745, 0.054619576781988144, 0.05459949001669884, 0.05457939952611923, 0.05457939952611923, 0.054559312760829926, 0.054559312760829926, 0.054559312760829926, 0.054559312760829926, 0.054559312760829926, 0.054559312760829926, 0.054559312760829926, 0.054559312760829926, 0.054559312760829926, 0.054559312760829926, 0.054559312760829926, 0.05452917888760567, 0.05450909212231636, 0.0544789619743824, 0.05444882810115814, 0.05442873761057854, 0.054398611187934875, 0.05437851697206497, 0.05434838682413101, 0.054328300058841705, 0.0543082132935524, 0.054288122802972794, 0.054288122802972794, 0.05426803603768349, 0.05424794927239418, 0.05424794927239418, 0.05424794927239418, 0.054227858781814575, 0.054227858781814575, 0.05420777201652527, 0.05420777201652527, 0.05420777201652527, 0.05418768525123596, 0.05418768525123596, 0.05418768525123596, 0.05418768525123596, 0.05418768525123596, 0.05418768525123596, 0.05418768525123596, 0.05418768525123596, 0.05418768525123596, 0.05419772490859032, 0.05420777201652527, 0.054227858781814575, 0.05424794927239418, 0.05426803603768349, 0.05429816618561745, 0.054318252950906754, 0.05434838682413101, 0.05436847358942032, 0.054398611187934875, 0.05442873761057854, 0.054458875209093094, 0.054489001631736755, 0.05452917888760567, 0.05456935614347458, 0.054649706929922104, 0.05467984080314636, 0.05477023869752884, 0.054850589483976364, 0.054951030761003494, 0.05503138154745102, 0.055121779441833496, 0.055212173610925674, 0.05524230748414993, 0.055352795869112015, 0.055382922291755676, 0.05542309954762459, 0.0554632768034935, 0.05549341067671776, 0.05552354454994202, 0.05556372180581093, 0.05559384822845459, 0.0556340254843235, 0.05566415935754776, 0.055744510143995285, 0.05576460063457489, 0.05585499852895737, 0.05593534931540489, 0.05601570010185242, 0.056136228144168854, 0.05622662603855133, 0.05632706731557846, 0.05642750486731529, 0.05651790276169777, 0.05659825727343559, 0.056628383696079254, 0.05671878531575203, 0.05674891918897629, 0.05682926997542381, 0.05684935674071312, 0.05687948688864708, 0.05691966414451599, 0.05694979801774025, 0.05697993189096451, 0.05702010914683342, 0.05705023556947708, 0.05708037316799164, 0.05712054669857025, 0.05716072395443916, 0.05724107474088669, 0.05727120861411095, 0.057361602783203125, 0.05744195356965065, 0.05755244195461273, 0.05764283984899521, 0.0577734112739563, 0.05787385255098343, 0.057984333485364914, 0.05807473137974739, 0.058155082166194916, 0.058185216039419174, 0.05827561020851135, 0.058285657316446304, 0.058315787464380264, 0.05834592133760452, 0.05837605521082878, 0.05839614197611809, 0.05841623246669769, 0.05842627212405205, 0.058436319231987, 0.058436319231987, 0.058436319231987, 0.058436319231987, 0.058436319231987, 0.05840618535876274, 0.05837605521082878, 0.05834592133760452, 0.058315787464380264, 0.058285657316446304, 0.058255523443222046, 0.058225393295288086, 0.05820530652999878, 0.058185216039419174, 0.05816512927412987, 0.05816512927412987, 0.05814504250884056, 0.058124955743551254, 0.05810486525297165, 0.05808477848768234, 0.058064691722393036, 0.05803455412387848, 0.057954203337430954, 0.05793411657214165, 0.05783367529511452, 0.05780354142189026, 0.057693056762218475, 0.057662926614284515, 0.057562485337257385, 0.05753235146403313, 0.057431913912296295, 0.05735155940055847, 0.05732142552733421, 0.05721094459295273, 0.057130590081214905, 0.057100459933280945, 0.05697993189096451, 0.05694979801774025, 0.05684935674071312, 0.05681922286748886, 0.05672882869839668, 0.056698694825172424, 0.056668564677238464, 0.05657816678285599, 0.05655808001756668, 0.05652794614434242, 0.0564475953578949, 0.05641746520996094, 0.05638733133673668, 0.0562969334423542, 0.0562768429517746, 0.05619649216532707, 0.056176405400037766, 0.056146275252103806, 0.056065917015075684, 0.05604583024978638, 0.05601570010185242, 0.05593534931540489, 0.055905215442180634, 0.0558047741651535, 0.05572442337870598, 0.05564407259225845, 0.055613938719034195, 0.05550345033407211, 0.055483363568782806, 0.05540301278233528, 0.05540301278233528, 0.055382922291755676, 0.055382922291755676, 0.055382922291755676, 0.055382922291755676, 0.055382922291755676, 0.055382922291755676, 0.055382922291755676, 0.05539296939969063, 0.055413056164979935, 0.055443186312913895, 0.05547332018613815, 0.05550345033407211, 0.055513497442007065, 0.05552354454994202, 0.05553358420729637, 0.05553358420729637, 0.05553358420729637, 0.05553358420729637, 0.05550345033407211, 0.05542309954762459, 0.05540301278233528, 0.05537288263440132, 0.055292531847953796, 0.05526239424943924, 0.05517199635505676, 0.0551418699324131, 0.05503138154745102, 0.05500125139951706, 0.05491085350513458, 0.05491085350513458, 0.054880719631910324, 0.05486063286662102, 0.05484054237604141, 0.054820455610752106, 0.0548003688454628, 0.0548003688454628, 0.0548003688454628, 0.0548003688454628, 0.0548003688454628, 0.0548003688454628, 0.05481041595339775, 0.054820455610752106, 0.054850589483976364, 0.054880719631910324, 0.05491085350513458, 0.05494098365306854, 0.0549711175262928, 0.05501129478216171, 0.05509164556860924, 0.055121779441833496, 0.055151909589767456, 0.055182043462991714, 0.055222220718860626, 0.055252354592084885, 0.05526239424943924, 0.05527244135737419, 0.05527244135737419, 0.05527244135737419, 0.05527244135737419, 0.05527244135737419, 0.055252354592084885, 0.05523226782679558, 0.055212173610925674, 0.055212173610925674, 0.05519208684563637, 0.05519208684563637, 0.05517199635505676, 0.05517199635505676, 0.05517199635505676, 0.05517199635505676, 0.05517199635505676, 0.055182043462991714, 0.05519208684563637, 0.05519208684563637, 0.05520213395357132, 0.05520213395357132, 0.05520213395357132, 0.05520213395357132, 0.05520213395357132, 0.05520213395357132, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.05519208684563637, 0.05520213395357132, 0.05523226782679558, 0.05526239424943924, 0.055282484740018845, 0.05530257150530815, 0.0553126186132431, 0.05532265827059746, 0.05533270537853241, 0.05534274876117706, 0.055352795869112015, 0.055352795869112015, 0.055352795869112015, 0.055352795869112015, 0.055352795869112015, 0.05533270537853241, 0.0553126186132431, 0.055282484740018845, 0.05526239424943924, 0.05524230748414993, 0.055222220718860626, 0.05520213395357132, 0.055182043462991714, 0.055182043462991714, 0.055182043462991714, 0.05516195669770241, 0.05516195669770241, 0.05516195669770241, 0.0551418699324131, 0.0551418699324131, 0.055121779441833496, 0.055121779441833496, 0.05510169267654419, 0.05510169267654419, 0.05508160591125488, 0.05508160591125488, 0.05508160591125488, 0.05508160591125488, 0.05506151542067528, 0.05506151542067528, 0.05504142865538597, 0.05504142865538597, 0.05504142865538597, 0.05504142865538597, 0.05506151542067528, 0.05509164556860924, 0.05513182282447815, 0.05517199635505676, 0.055212173610925674, 0.055252354592084885, 0.055292531847953796, 0.05537288263440132, 0.055413056164979935, 0.055513497442007065, 0.055613938719034195, 0.05572442337870598, 0.05582486465573311, 0.05593534931540489, 0.05602574348449707, 0.056106097996234894, 0.056146275252103806, 0.056236669421195984, 0.05626680329442024, 0.05634715408086777, 0.056377287954092026, 0.05641746520996094, 0.056507859379053116, 0.05654803290963173, 0.056638430804014206, 0.05671878531575203, 0.05674891918897629, 0.05683930963277817, 0.05687948688864708, 0.056969884783029556, 0.05701006203889847, 0.05709041282534599, 0.057130590081214905, 0.05722098797559738, 0.05725112184882164, 0.05735155940055847, 0.05739173665642738, 0.05751226469874382, 0.0576026625931263, 0.05768301337957382, 0.05778345465660095, 0.05787385255098343, 0.057954203337430954, 0.05803455412387848, 0.058124955743551254, 0.058215346187353134, 0.058315787464380264, 0.05841623246669769, 0.058516670018434525, 0.058617111295461655, 0.05870750918984413, 0.05879790335893631, 0.058878254145383835, 0.05895861238241196, 0.05903896316885948, 0.05906909331679344, 0.05916953086853027, 0.059209711849689484, 0.05930010601878166, 0.05938045680522919, 0.059470854699611664, 0.05955120548605919, 0.059641607105731964, 0.059742044657468796, 0.05985253304243088, 0.059973057359457016, 0.060103632509708405, 0.060234200209379196, 0.060374822467565536, 0.06049535050988197, 0.06062592566013336, 0.06075649335980415, 0.060897115617990494, 0.061057817190885544, 0.06121852248907089, 0.061389271169900894, 0.061549972742795944, 0.06171068176627159, 0.061881426721811295, 0.06204213574528694, 0.06219279393553734, 0.06234345585107803, 0.06248407065868378, 0.06264477968215942, 0.06282556802034378, 0.06301640719175339, 0.06321728974580765, 0.06341817229986191, 0.06358891725540161, 0.06373957544565201, 0.0638701543211937, 0.06400072574615479, 0.06409112364053726, 0.06420160830020905, 0.06429200619459152, 0.06439244747161865, 0.06451297551393509, 0.06461340934038162, 0.06471385061740875, 0.06480424851179123, 0.06488460302352905, 0.06496495008468628, 0.06500513106584549, 0.06509552896022797, 0.06512565910816193, 0.06520601361989975, 0.06522610038518906, 0.06525623053312302, 0.06527631729841232, 0.06528636813163757, 0.06529640406370163, 0.06529640406370163, 0.06529640406370163, 0.06529640406370163, 0.06529640406370163, 0.06529640406370163, 0.06529640406370163, 0.06529640406370163, 0.06527631729841232, 0.06525623053312302, 0.06523614376783371, 0.06520601361989975, 0.06511561572551727, 0.06508547812700272, 0.06495491415262222, 0.06485447287559509, 0.06475402414798737, 0.06466363370418549, 0.06458327919244766, 0.0645531490445137, 0.06452301144599915, 0.06450292468070984, 0.06450292468070984, 0.06450292468070984, 0.06452301144599915, 0.0645531490445137, 0.06459332257509232, 0.06462346017360687, 0.06463349610567093, 0.06464354693889618, 0.06464354693889618, 0.06462346017360687, 0.06451297551393509, 0.06443262100219727, 0.06433217972517014, 0.06424178183078766, 0.06416142731904984, 0.06413129717111588, 0.06402081251144409, 0.06399068236351013, 0.063890241086483, 0.06386010348796844, 0.06373957544565201, 0.06365922838449478, 0.06357887387275696, 0.06349852681159973, 0.06340812891721725, 0.06332777440547943, 0.06324741989374161, 0.06316707283258438, 0.06313693523406982, 0.06304653733968735, 0.06301640719175339, 0.06292600929737091, 0.06289587914943695, 0.06279543787240982, 0.06270503997802734, 0.06260460615158081, 0.06249411776661873, 0.06237358972430229, 0.06226310506463051, 0.062152616679668427, 0.06203208863735199, 0.06191156059503555, 0.061821162700653076, 0.061730772256851196, 0.06170063465833664, 0.061590149998664856, 0.061560019850730896, 0.06146962195634842, 0.06143949180841446, 0.06134909391403198, 0.061318960040807724, 0.06120847910642624, 0.06112812086939812, 0.06104777008295059, 0.06101763993501663, 0.06088706851005554, 0.060856934636831284, 0.06073640659451485, 0.06070627644658089, 0.06061587855219841, 0.06058574840426445, 0.06055561453104019, 0.06052548065781593, 0.06049535050988197, 0.06047526374459267, 0.06047526374459267, 0.06047526374459267, 0.06047526374459267, 0.06048530340194702, 0.06049535050988197, 0.06052548065781593, 0.060565654188394547, 0.06065605208277702, 0.060696229338645935, 0.06081675738096237, 0.06093728914856911, 0.06107790395617485, 0.06124865636229515, 0.06146962195634842, 0.06174081191420555, 0.06204213574528694, 0.06243385374546051, 0.06285570561885834, 0.06335790455341339, 0.06388019770383835, 0.06448283791542053, 0.06497500091791153, 0.06558768451213837, 0.0660095363855362, 0.06627068668603897, 0.0666925311088562, -0.07214046269655228, -0.07211033254861832, -0.07208020240068436, -0.07218062877655029, -0.07214046269655228, -0.07201994210481644, -0.07193959504365921, -0.07180903106927872, -0.07170859724283218, -0.07160817086696625, -0.07149769365787506, -0.07139725983142853, -0.07128678262233734, -0.07119639962911606, -0.07108592242002487, -0.07100557535886765, -0.07090514153242111, -0.07082479447126389, -0.07074445486068726, -0.07070428133010864, -0.07061389088630676, -0.07059380412101746, -0.0705636739730835, -0.07053354382514954, -0.07050341367721558, -0.07046324014663696, -0.07042307406663895, -0.07031259685754776, -0.07023224979639053, -0.07012177258729935, -0.07001129537820816, -0.06989078223705292, -0.06975017488002777, -0.06963969767093658, -0.06949909031391144, -0.06936852633953094, -0.0692279264330864, -0.06908731907606125, -0.06895676255226135, -0.0688161551952362, -0.06870567798614502, -0.06858515739440918, -0.068474680185318, -0.06838429719209671, -0.06826377660036087, -0.06818342953920364, -0.06807295233011246, -0.06798256933689117, -0.06787209212779999, -0.0677616149187088, -0.06765113770961761, -0.06751053035259247, -0.06737997382879257, -0.06721927970647812, -0.06707867980003357, -0.06694811582565308, -0.06681755185127258, -0.06669703125953674, -0.0665765181183815, -0.06644595414400101, -0.06632543355226517, -0.06618482619524002, -0.06606431305408478, -0.06590361893177032, -0.06577305495738983, -0.06561236828565598, -0.06547176092863083, -0.06534119695425034, -0.06520058959722519, -0.0650901198387146, -0.06496959924697876, -0.06485912203788757, -0.06473860889673233, -0.06459800153970718, -0.06445739418268204, -0.06427661329507828, -0.06404562294483185, -0.06382466852664948, -0.06355350464582443, -0.06328234076499939, -0.0630212128162384, -0.06276009231805801, -0.06251905113458633, -0.06230814382433891, -0.062107279896736145, -0.06192650645971298, -0.06176581233739853, -0.06159507855772972, -0.06143438443541527, -0.06125360727310181, -0.06106278672814369, -0.060861922800540924, -0.060630928725004196, -0.06039993092417717, -0.06015889719128609, -0.05990781635046005, -0.05963664874434471, -0.05940565466880798, -0.059134483337402344, -0.05889344960451126, -0.05868254229426384, -0.05845154821872711, -0.05824064090847969, -0.058049820363521576, -0.057838909327983856, -0.05762800574302673, -0.057417094707489014, -0.05717606097459793, -0.05696514993906021, -0.05675424635410309, -0.05655338242650032, -0.05639268830418587, -0.056211911141872406, -0.05605122074484825, -0.05590057373046875, -0.055729832500219345, -0.05559927597641945, -0.05542853847146034, -0.05523771792650223, -0.05503685399889946, -0.05477573350071907, -0.054494522511959076, -0.05417313426733017, -0.05381157994270325, -0.05342993885278702, -0.05304829403758049, -0.052676696330308914, -0.05231513828039169, -0.05198371037840843, -0.05169245973229408, -0.05144137889146805, -0.05120034143328667, -0.05103965103626251, -0.050899047404527664, -0.05081870034337044, -0.05078857019543648, -0.050758443772792816, -0.050728313624858856, -0.050688136368989944, -0.05064796656370163, -0.05052744969725609, -0.05044710263609886, -0.05031653866171837, -0.05017593502998352, -0.050035327672958374, -0.049864593893289566, -0.04972399026155472, -0.04958338290452957, -0.04945281893014908, -0.04933230206370354, -0.049211785197257996, -0.04911135137081146, -0.04901092126965523, -0.048910487443208694, -0.04881005361676216, -0.04868953675031662, -0.04857905954122543, -0.04845854267477989, -0.048327986150979996, -0.048197414726018906, -0.04806685820221901, -0.04792625829577446, -0.04779568687081337, -0.047665130347013474, -0.047514475882053375, -0.047373875975608826, -0.047223225235939026, -0.047072574496269226, -0.04692193493247032, -0.04676124081015587, -0.04661059007048607, -0.046449895948171616, -0.0462590791285038, -0.04608834534883499, -0.04587743431329727, -0.04566652327775955, -0.04546566307544708, -0.04524471238255501, -0.04505389556288719, -0.044853027909994125, -0.04465215653181076, -0.044461339712142944, -0.04428056627511978, -0.04409978911280632, -0.043959178030490875, -0.043808527290821075, -0.04369805008172989, -0.04356749355792999, -0.043457016348838806, -0.04334654286503792, -0.04322602599859238, -0.04310550540685654, -0.04297494888305664, -0.04284438118338585, -0.042713820934295654, -0.04258326068520546, -0.04247278720140457, -0.04234221950173378, -0.04223174229264259, -0.04211122542619705, -0.04198066517710686, -0.04185010865330696, -0.04167937487363815, -0.041528720408678055, -0.04135798662900925, -0.04118725284934044, -0.04103660210967064, -0.040875907987356186, -0.040755391120910645, -0.04062483087182045, -0.04050431400537491, -0.04039384052157402, -0.04027332365512848, -0.04015279561281204, -0.0400322787463665, -0.03991176187992096, -0.03979124128818512, -0.03966068476438522, -0.03953011706471443, -0.03938951715826988, -0.03926899656653404, -0.03913842886686325, -0.03901791200041771, -0.03890743479132652, -0.03877687826752663, -0.038656361401081085, -0.03852580115199089, -0.038385190069675446, -0.038234539330005646, -0.03806380555033684, -0.037903111428022385, -0.03773237764835358, -0.03756164386868477, -0.03740096092224121, -0.0372101329267025, -0.037049438804388046, -0.03687870502471924, -0.036728065460920334, -0.036597494035959244, -0.03644685447216034, -0.036346420645713806, -0.03623594343662262, -0.036135509610176086, -0.03605516999959946, -0.03596477583050728, -0.03592459857463837, -0.03582417592406273, -0.03579404205083847, -0.03575386479496956, -0.03571369871497154, -0.03562330827116966, -0.035542964935302734, -0.035452570766210556, -0.03534209728240967, -0.03523162007331848, -0.035101063549518585, -0.0349905863404274, -0.03487006947398186, -0.03477967530488968, -0.0346892811357975, -0.03465915843844414, -0.03462902456521988, -0.034598901867866516, -0.03456876426935196, -0.03454868122935295, -0.03451854735612869, -0.03448842465877533, -0.03445829078555107, -0.03437794744968414, -0.034347813576459885, -0.034267473965883255, -0.0342373363673687, -0.03412686288356781, -0.034086696803569794, -0.03398626297712326, -0.033956129103899, -0.033915963023900986, -0.033875785768032074, -0.033845651894807816, -0.03381552919745445, -0.03379543498158455, -0.03377535194158554, -0.03375526890158653, -0.03373517468571663, -0.033725135028362274, -0.033705051988363266, -0.03369501233100891, -0.03368495777249336, -0.03368495777249336, -0.03368495777249336, -0.03368495777249336, -0.033705051988363266, -0.03373517468571663, -0.03381552919745445, -0.03383561223745346, -0.033936046063899994, -0.03396616876125336, -0.034086696803569794, -0.03416703641414642, -0.03419717401266098, -0.034327730536460876, -0.03435785695910454, -0.034468330442905426, -0.034498464316129684, -0.03460894152522087, -0.034639064222574234, -0.03474954143166542, -0.034829892218112946, -0.03486001864075661, -0.035000625997781754, -0.035091008991003036, -0.035181403160095215, -0.0352918803691864, -0.03541239723563194, -0.035532914102077484, -0.035663481801748276, -0.03579404205083847, -0.03592459857463837, -0.036075253039598465, -0.03620580956339836, -0.03635646030306816, -0.03650711476802826, -0.03666779398918152, -0.03683853894472122, -0.03701931610703468, -0.037169959396123886, -0.03733064979314804, -0.03745116665959358, -0.03757169470191002, -0.037682171911001205, -0.0377926379442215, -0.03791316598653793, -0.038033682852983475, -0.03816423937678337, -0.038304850459098816, -0.03845549002289772, -0.03862622752785683, -0.03877687826752663, -0.038947612047195435, -0.03910830616950989, -0.039279039949178696, -0.03946985676884651, -0.03966068476438522, -0.03987158462405205, -0.04008249565958977, -0.04029340296983719, -0.04050431400537491, -0.040695130825042725, -0.04088594764471054, -0.04109685868024826, -0.041297730058431625, -0.041498586535453796, -0.04168941453099251, -0.04185010865330696, -0.04201079159975052, -0.04217148199677467, -0.04232213646173477, -0.042482826858758926, -0.042633481323719025, -0.04278412088751793, -0.042924731969833374, -0.043065331876277924, -0.04320594295859337, -0.04332645982503891, -0.043457016348838806, -0.04357753321528435, -0.04370810464024544, -0.043838661164045334, -0.043989311903715134, -0.04414999485015869, -0.04433078318834305, -0.044521600008010864, -0.04472246766090393, -0.044933367520570755, -0.045144278556108475, -0.04536522924900055, -0.04560626298189163, -0.04584730789065361, -0.04608834534883499, -0.04631933569908142, -0.046540290117263794, -0.04676124081015587, -0.04700227454304695, -0.047253359109163284, -0.047514475882053375, -0.04776556417346001, -0.04803673177957535, -0.04831794276833534, -0.04863931983709335, -0.048970747739076614, -0.04931221529841423, -0.04964364320039749, -0.04995498061180115, -0.05022615194320679, -0.05046718567609787, -0.050658006221055984, -0.05078857019543648, -0.05090908706188202, -0.05100952461361885, -0.05109991133213043, -0.05121038481593132, -0.05132086202502251, -0.05144137889146805, -0.05157194286584854, -0.051702503114938736, -0.05183306708931923, -0.05197367072105408, -0.05210423469543457, -0.05222475156188011, -0.052355315536260605, -0.052475832402706146, -0.05260639265179634, -0.052736956626176834, -0.05286751687526703, -0.05298803746700287, -0.05310855433344841, -0.05322907492518425, -0.053329505026340485, -0.05342993885278702, -0.0535203255712986, -0.053600672632455826, -0.053630802780389786, -0.05371114984154701, -0.05373123288154602, -0.05375131964683533, -0.053771406412124634, -0.053771406412124634, -0.053771406412124634, -0.053771406412124634, -0.053771406412124634, -0.05375131964683533, -0.05371114984154701, -0.05361071601510048, -0.05353036895394325, -0.05343998223543167, -0.053339552134275436, -0.0532391183078289, -0.05312864109873772, -0.052998077124357224, -0.052857473492622375, -0.052706826478242874, -0.05255617946386337, -0.05239548534154892, -0.052234794944524765, -0.05207410454750061, -0.051883284002542496, -0.05169245973229408, -0.05148154869675636, -0.051280684769153595, -0.05109991133213043, -0.05091913044452667, -0.050748396664857864, -0.0505676195025444, -0.05034666880965233, -0.0501156747341156, -0.04987463355064392, -0.049623552709817886, -0.049382518976926804, -0.04914148151874542, -0.04888036474585533, -0.04860919341444969, -0.048348065465688705, -0.04809699207544327, -0.04785594716668129, -0.04761491343379021, -0.047373875975608826, -0.04711275175213814, -0.0468415804207325, -0.04658046364784241, -0.04629925265908241, -0.04600799083709717, -0.045706700533628464, -0.045435529202222824, -0.04519449546933174, -0.04498358443379402, -0.044792767614126205, -0.04461199417710304, -0.044441256672143936, -0.04428056627511978, -0.04411987215280533, -0.043959178030490875, -0.04378844425082207, -0.043627750128507614, -0.04344697669148445, -0.043256159871816635, -0.04305528849363327, -0.04284438118338585, -0.042633481323719025, -0.04245269298553467, -0.04228195920586586, -0.04214135929942131, -0.04202084243297577, -0.04189027473330498, -0.04175971448421478, -0.04161910340189934, -0.04146846383810043, -0.04130776971578598, -0.04114707559347153, -0.04100647568702698, -0.04086586833000183, -0.040735308080911636, -0.040604740381240845, -0.04047418013215065, -0.040343623608350754, -0.040213052183389664, -0.04008249565958977, -0.039961978793144226, -0.03983141854405403, -0.03970085084438324, -0.039570290595293045, -0.039429690688848495, -0.039299122989177704, -0.03918864578008652, -0.03907817229628563, -0.03897774592041969, -0.03889739513397217, -0.038857217878103256, -0.03875679522752762, -0.03872666135430336, -0.03864631801843643, -0.03861618414521217, -0.038535844534635544, -0.038505710661411285, -0.03841532766819, -0.038385190069675446, -0.03827471658587456, -0.038174282759428024, -0.03807384520769119, -0.037973422557115555, -0.03787298873066902, -0.03777255490422249, -0.037672121077775955, -0.03757169470191002, -0.03746122121810913, -0.037350744009017944, -0.03724026679992676, -0.037109699100255966, -0.03696909919381142, -0.03682848811149597, -0.03666779398918152, -0.03652719408273697, -0.03637654334306717, -0.036225903779268265, -0.03606520965695381, -0.03590451553463936, -0.035743825137615204, -0.0355730876326561, -0.0354224368929863, -0.03527179732918739, -0.0351412259042263, -0.03501066938042641, -0.03488010913133621, -0.03475959226489067, -0.03464911878108978, -0.03454868122935295, -0.034468330442905426, -0.034387990832328796, -0.03437794744968414, -0.03435785695910454, -0.03435785695910454, -0.03437794744968414, -0.03451854735612869, -0.03451854735612869, -0.03464911878108978, -0.034769635647535324, -0.034769635647535324)"
"2016-01-28 14:06:36:205120" new_letter "score: 0.254756391048"
