"2016-01-28 10:42:29:852498" word:tree
"2016-01-28 10:42:33:452220" clearscreen
"2016-01-28 10:42:47:995293" repetition:1
"2016-01-28 10:43:06:747149" writeTime:8737.0
"2016-01-28 10:43:06:747233" timeResponse:8090.0
"2016-01-28 10:43:09:661108" demo:t "(0.0539667122066021, 0.05400688573718071, 0.05367543548345566, 0.053534816950559616, 0.05331385135650635, 0.05331385135650635, 0.05334398150444031, 0.053434379398822784, 0.05354486405849457, 0.053665392100811005, 0.053795959800481796, 0.053926534950733185, 0.05401693284511566, 0.05410733073949814, 0.0541374608874321, 0.05421781167387962, 0.05423790216445923, 0.05426803603768349, 0.05429816618561745, 0.0543082132935524, 0.054328300058841705, 0.054328300058841705, 0.054328300058841705, 0.054328300058841705, 0.05429816618561745, 0.05421781167387962, 0.05418768525123596, 0.05410733073949814, 0.05408724024891853, 0.05406714975833893, 0.05404706299304962, 0.054026976227760315, 0.05400688573718071, 0.05400688573718071, 0.05400688573718071, 0.05400688573718071, 0.05400688573718071, 0.05403702333569527, 0.05407719686627388, 0.05417763814330101, 0.054257988929748535, 0.05429816618561745, 0.05441869795322418, 0.054458875209093094, 0.054589442908763885, 0.05466980114579201, 0.05477023869752884, 0.05481041595339775, 0.05490080639719963, 0.054920896887779236, 0.054920896887779236, 0.054920896887779236, 0.0548003688454628, 0.05469992756843567, 0.054559312760829926, 0.05442873761057854, 0.054288122802972794, 0.054157551378011703, 0.05403702333569527, 0.05391649529337883, 0.0538160502910614, 0.053735699504613876, 0.053705569356679916, 0.05367543548345566, 0.05365534499287605, 0.05365534499287605, 0.05365534499287605, 0.05368547886610031, 0.05377587303519249, 0.0538160502910614, 0.05391649529337883, 0.053996846079826355, 0.05403702333569527, 0.054157551378011703, 0.05424794927239418, 0.054288122802972794, 0.054398611187934875, 0.05441869795322418, 0.05444882810115814, 0.0544789619743824, 0.05450909212231636, 0.05453922599554062, 0.05456935614347458, 0.05459949001669884, 0.054689887911081314, 0.054720018059015274, 0.05483050271868706, 0.054920896887779236, 0.05501129478216171, 0.055111732333898544, 0.055151909589767456, 0.055292531847953796, 0.05533270537853241, 0.055453233420848846, 0.055483363568782806, 0.05557376146316528, 0.05560389533638954, 0.05569428950548172, 0.05572442337870598, 0.05583490803837776, 0.05594538897275925, 0.05604583024978638, 0.05619649216532707, 0.056337106972932816, 0.056477729231119156, 0.0566183440387249, 0.05672882869839668, 0.05682926997542381, 0.05691966414451599, 0.057030148804187775, 0.05714063346385956, 0.05725112184882164, 0.057361602783203125, 0.0574520006775856, 0.05753235146403313, 0.057562485337257385, 0.05764283984899521, 0.05767296627163887, 0.05771314352750778, 0.057753320783376694, 0.05784371867775917, 0.05786380544304848, 0.057944156229496, 0.05796424672007561, 0.05800442025065422, 0.05808477848768234, 0.0580948181450367, 0.05813499540090561, 0.05816512927412987, 0.05819525942206383, 0.058225393295288086, 0.058255523443222046, 0.05827561020851135, 0.05829569697380066, 0.05830574408173561, 0.058315787464380264, 0.058325834572315216, 0.05834592133760452, 0.05836600810289383, 0.058386098593473434, 0.05839614197611809, 0.05839614197611809, 0.05839614197611809, 0.05839614197611809, 0.05840618535876274, 0.05842627212405205, 0.058456405997276306, 0.058486536145210266, 0.05856688693165779, 0.05859702453017235, 0.058627158403396606, 0.058717548847198486, 0.05874768644571304, 0.058777812868356705, 0.05885816738009453, 0.058878254145383835, 0.05890838801860809, 0.058948565274477005, 0.05903896316885948, 0.05905904993414879, 0.0590992271900177, 0.059139400720596313, 0.05921975523233414, 0.05922979861497879, 0.05925992876291275, 0.05930010601878166, 0.059340279549360275, 0.0594206340610981, 0.059440720826387405, 0.05952107906341553, 0.059541165828704834, 0.05963155999779701, 0.05966169387102127, 0.05975209176540375, 0.05978222191333771, 0.059902749955654144, 0.05999314785003662, 0.06011367589235306, 0.06026433780789375, 0.06038486585021019, 0.06054556742310524, 0.06065605208277702, 0.06078662723302841, 0.0609172023832798, 0.061057817190885544, 0.0612386092543602, 0.06143949180841446, 0.061660461127758026, 0.06191156059503555, 0.062152616679668427, 0.06240371987223625, 0.06264477968215942, 0.06287579238414764, 0.06309676170349121, 0.06330768764019012, 0.06350856274366379, 0.06376971304416656, 0.06386010348796844, 0.06412125378847122, 0.05159631371498108, 0.05160636082291603, 0.05176706612110138, 0.05186750367283821, 0.052108559757471085, 0.05238979682326317, 0.052711207419633865, 0.05306274816393852, 0.05341429263353348, 0.053765833377838135, 0.05411737412214279, 0.05443878471851349, 0.05474010482430458, 0.05503138154745102, 0.05533270537853241, 0.05560389533638954, 0.05588512867689133, 0.056146275252103806, 0.056377287954092026, 0.056568119674921036, 0.056769005954265594, 0.05691966414451599, 0.05705023556947708, 0.05717076361179352, 0.057261161506175995, 0.05734151601791382, 0.05742186680436134, 0.05746204033493996, 0.05757252871990204, 0.057662926614284515, 0.05770310387015343, 0.05790398269891739, 0.057924069464206696, -0.05922487750649452, -0.059024013578891754, -0.05921483039855957, -0.059234920889139175, -0.05948600172996521, -0.05950608849525452, -0.059526171535253525, -0.05954625830054283, -0.05954625830054283, -0.05954625830054283, -0.05954625830054283, -0.05953621864318848, -0.05950608849525452, -0.05947595834732056, -0.0594458281993866, -0.05940565466880798, -0.05936548486351967, -0.05926504731178284, -0.05924496054649353, -0.05915457382798195, -0.059114404022693634, -0.058993879705667496, -0.058873362839221954, -0.05876288563013077, -0.058612242341041565, -0.058491721749305725, -0.05836115777492523, -0.05823059752583504, -0.0581301674246788, -0.05802973359823227, -0.057989560067653656, -0.05787908658385277, -0.05784895643591881, -0.057748522609472275, -0.05770835280418396, -0.05759787559509277, -0.05751752853393555, -0.05743718147277832, -0.05734679475426674, -0.05726644769310951, -0.05717606097459793, -0.057095713913440704, -0.05700532719492912, -0.056924980133771896, -0.056834589689970016, -0.05672411620616913, -0.056623682379722595, -0.05648307502269745, -0.05637260153889656, -0.05622195452451706, -0.05608134716749191, -0.05593070015311241, -0.05574991926550865, -0.0555892288684845, -0.05539841204881668, -0.05518750101327896, -0.0550067238509655, -0.054785773158073425, -0.054604992270469666, -0.05441417545080185, -0.054193224757909775, -0.05400240048766136, -0.05378144979476929, -0.05358058586716652, -0.053389761596918106, -0.05320898815989494, -0.05301816388964653, -0.05284743010997772, -0.05265660956501961, -0.052505962550640106, -0.052325181663036346, -0.05216449126601219, -0.05201384052634239, -0.05183306708931923, -0.05169245973229408, -0.051521725952625275, -0.05137107893824577, -0.051230475306510925, -0.05105973407626152, -0.050899047404527664, -0.05073835328221321, -0.050517402589321136, -0.050336625427007675, -0.050105635076761246, -0.049864593893289566, -0.0496637299656868, -0.049442779272794724, -0.04925195500254631, -0.049091268330812454, -0.0489305704832077, -0.04881005361676216, -0.048699576407670975, -0.04858910292387009, -0.048498719930648804, -0.04839828610420227, -0.04831794276833534, -0.04821750894188881, -0.048137158155441284, -0.0480266809463501, -0.047906164079904556, -0.04777560383081436, -0.04761491343379021, -0.04747431352734566, -0.047303568571805954, -0.047142885625362396, -0.046992234885692596, -0.04683154076337814, -0.04670098051428795, -0.04655032977461815, -0.046419769525527954, -0.04629925265908241, -0.04614860191941261, -0.04604816809296608, -0.04590756818652153, -0.045807134360075, -0.045686617493629456, -0.045566100627183914, -0.04545562341809273, -0.04531501233577728, -0.04519449546933174, -0.045063938945531845, -0.044933367520570755, -0.044812850654125214, -0.04469233378767967, -0.044581856578588486, -0.044461339712142944, -0.044350866228342056, -0.044230349361896515, -0.044109832495450974, -0.044019438326358795, -0.04391900449991226, -0.043838661164045334, -0.0437382273375988, -0.04365788772702217, -0.04355745017528534, -0.04346705973148346, -0.04336663335561752, -0.04326619952917099, -0.04316576570272446, -0.04305528849363327, -0.04296489804983139, -0.042864471673965454, -0.042774081230163574, -0.042693737894296646, -0.04261338710784912, -0.04258326068520546, -0.042482826858758926, -0.04245269298553467, -0.04234221950173378, -0.042302053421735764, -0.04219157621264458, -0.0421011820435524, -0.04202084243297577, -0.04193044826388359, -0.04185010865330696, -0.041739631444215775, -0.04169945418834686, -0.04156889766454697, -0.041528720408678055, -0.04140820354223251, -0.04132785275578499, -0.04122743010520935, -0.041106902062892914, -0.04100647568702698, -0.040875907987356186, -0.0407855249941349, -0.04068509116768837, -0.04059469699859619, -0.04051435738801956, -0.04043400287628174, -0.04035366326570511, -0.04026326909661293, -0.040223103016614914, -0.040112629532814026, -0.04008249565958977, -0.039992112666368484, -0.039961978793144226, -0.039931852370500565, -0.03991176187992096, -0.039901718497276306, -0.03989167883992195, -0.03989167883992195, -0.03989167883992195, -0.039921801537275314, -0.0400322787463665, -0.04012266919016838, -0.04023314639925957, -0.04039384052157402, -0.04057461395859718, -0.040765430778265, -0.04099642485380173, -0.041197292506694794, -0.04142828658223152, -0.04165928065776825, -0.041860148310661316, -0.0421011820435524, -0.0422518365085125, -0.04261338710784912, -0.04278412088751793, -0.04798651486635208, -0.048076897859573364, -0.04809699207544327, -0.04827776551246643, -0.04829784855246544, -0.04841836541891098, -0.04844850301742554, -0.04859915375709534, -0.04868953675031662, -0.04880001023411751, -0.04890044778585434, -0.049000874161720276, -0.04910131171345711, -0.049201738089323044, -0.04930217191576958, -0.04939256235957146, -0.04949299618601799, -0.04958338290452957, -0.0496637299656868, -0.04975411668419838, -0.04978424683213234, -0.04988468065857887, -0.04990476369857788, -0.04993489757180214, -0.04995498061180115, -0.04997507110238075, -0.04999515786767006, -0.04999515786767006, -0.05001524090766907, -0.05001524090766907, -0.05001524090766907, -0.04998511075973511, -0.050005197525024414)"
"2016-01-28 10:43:09:661750" learn:t "(0.14888502657413483, 0.13584375381469727, 0.13154740631580353, 0.1400502622127533, 0.14778394997119904, 0.1514919102191925, 0.1533554643392563, 0.1533537358045578, 0.14878560602664948, 0.1468033641576767, 0.14539845287799835, 0.1451980173587799, 0.1500730812549591, 0.15559852123260498, 0.1622186303138733, 0.1658744364976883, 0.15907718241214752, 0.14853322505950928, 0.1398458629846573, 0.13704383373260498, 0.13779570162296295, 0.14450262486934662, 0.15185920894145966, 0.15769872069358826, 0.16178038716316223, 0.1678108423948288, 0.16128434240818024, 0.17048488557338715, 0.178937166929245, 0.18557439744472504, 0.19383811950683594, 0.20622992515563965, 0.21736571192741394, 0.22780276834964752, 0.23816731572151184, 0.24457930028438568, 0.2515462636947632, 0.25966063141822815, 0.2685239017009735, 0.27728909254074097, 0.2867795526981354, 0.29651913046836853, 0.3056184947490692, 0.3120671510696411, 0.3200243413448334, 0.32793816924095154, 0.33560317754745483, 0.3425399363040924, 0.35096055269241333, 0.35906320810317993, 0.3685300946235657, 0.3681917190551758, 0.3631910979747772, 0.3753972351551056, 0.3845457136631012, 0.29992738366127014, 0.32835185527801514, 0.3542447090148926, 0.35011589527130127, 0.38461485505104065, 0.07494688779115677, 0.10503885895013809, 0.1468106359243393, 0.18402628600597382, 0.21518740057945251, 0.2451135814189911, 0.2795928716659546, 0.29741552472114563, 0.31146788597106934, 0.3246192932128906, 0.012050253339111805, 0.02085270546376705, 0.02511369250714779, 0.034324418753385544, 0.049294423311948776, 0.06851982325315475, 0.08964380621910095, 0.11826737970113754, 0.150051549077034, 0.1776656061410904, 0.20334772765636444, 0.22995580732822418, 0.2555546462535858, 0.2790583670139313, 0.3046548068523407, 0.3327062726020813, 0.3634167015552521, 0.39697399735450745, 0.42938023805618286, 0.46068164706230164, 0.4873712360858917, 0.5100631713867188, 0.5308106541633606, 0.5484879016876221, 0.5670422315597534, 0.589364767074585, 0.6087795495986938, 0.6299659013748169, 0.6470919251441956, 0.6638411283493042, 0.6840856671333313, 0.7074525356292725, 0.7300563454627991, 0.751485288143158, 0.7709242105484009, 0.7894775867462158, 0.8086053133010864, 0.8262262940406799, 0.8432937860488892, 0.8585802316665649, 0.8722067475318909, 0.8842959403991699, 0.8954911828041077, 0.9054977893829346, 0.9129747748374939, 0.9210768342018127, 0.9295035004615784, 0.9374947547912598, 0.9444453716278076, 0.9516974091529846, 0.9563398957252502, 0.9459811449050903, 0.9254075288772583, 0.9208917021751404, 0.9099135994911194, 0.7465646266937256, 0.7344967126846313, 0.7020533084869385, 0.6125343441963196, 0.5944002270698547, 0.4452255964279175, 0.4366605281829834, 0.43117523193359375, 0.4238716959953308, 0.4155638515949249, 0.4066850543022156, 0.4032430946826935, 0.4004915654659271, 0.4006892144680023, 0.40338364243507385)"
"2016-01-28 10:43:09:662154" new_letter "score: 0.334965139627"
"2016-01-28 10:43:09:663232" demo:r "(0.07143332809209824, 0.07143332809209824, 0.07145341485738754, 0.07130275666713715, 0.07127261906862259, 0.07118222862482071, 0.0711621344089508, 0.07113200426101685, 0.07111191749572754, 0.07109183073043823, 0.07109183073043823, 0.07109183073043823, 0.07109183073043823, 0.07109183073043823, 0.07109183073043823, 0.07106170058250427, 0.07103156298398972, 0.07090099155902863, 0.07081059366464615, 0.0706498846411705, 0.07052936404943466, 0.07038874179124832, 0.0703083947300911, 0.07028830796480179, 0.07028830796480179, 0.07031843811273575, 0.07042892277240753, 0.07056953758001328, 0.07070010900497437, 0.07087086141109467, 0.0709913894534111, 0.07113200426101685, 0.07124248892068863, 0.07135297358036041, 0.07143332809209824, 0.07147350162267685, 0.07156389951705933, 0.07158398628234863, 0.07161411643028259, 0.07162416726350784, 0.07162416726350784, 0.07162416726350784, 0.07162416726350784, 0.07160408049821854, 0.07158398628234863, 0.07156389951705933, 0.07154380530118942, 0.07154380530118942, 0.07152371853590012, 0.07150363177061081, 0.07150363177061081, 0.07150363177061081, 0.07150363177061081, 0.07150363177061081, 0.07150363177061081, 0.07150363177061081, 0.07150363177061081, 0.07150363177061081, 0.07150363177061081, 0.07150363177061081, 0.07152371853590012, 0.07154380530118942, 0.07155385613441467, 0.07156389951705933, 0.07156389951705933, 0.07156389951705933, 0.07153376936912537, 0.07144337147474289, 0.07136301696300507, 0.0713328868150711, 0.07119226455688477, 0.07111191749572754, 0.07101147621870041, 0.07090099155902863, 0.07079050689935684, 0.0706699788570404, 0.07055949419736862, 0.07044900953769684, 0.07036865502595901, 0.07033852487802505, 0.0703083947300911, 0.07028830796480179, 0.07028830796480179, 0.07029834389686584, 0.07031843811273575, 0.07039878517389297, 0.07041887193918228, 0.07044900953769684, 0.0704791396856308, 0.07048918306827545, 0.0704992339015007, 0.07050926983356476, 0.07050926983356476, 0.07051932066679001, 0.07051932066679001, 0.07051932066679001, 0.07051932066679001, 0.07052936404943466, 0.07053940743207932, 0.07055949419736862, 0.07058962434530258, 0.0706297978758812, 0.07072019577026367, 0.07081059366464615, 0.07085077464580536, 0.07096125185489655, 0.07104161381721497, 0.07112196087837219, 0.0711621344089508, 0.07127261906862259, 0.0713128000497818, 0.07141324132680893, 0.07145341485738754, 0.07154380530118942, 0.07158398628234863, 0.07166434079408646, 0.07169447094202042, 0.07173464447259903, 0.07177482545375824, 0.0718049556016922, 0.07183508574962616, 0.07186522334814072, 0.07189535349607468, 0.0719757080078125, 0.07205605506896973, 0.07215649634599686, 0.07225693762302399, 0.07240760326385498, 0.07243773341178894, 0.07267878949642181, -0.047132834792137146, -0.047132834792137146, -0.04703240841627121, -0.04706253483891487, -0.04698219150304794, -0.04688175767660141, -0.04679136350750923, -0.046690940856933594, -0.046600546687841415, -0.04651015251874924, -0.04639967903494835, -0.04627916216850281, -0.046108428388834, -0.0459577850997448, -0.045766957104206085, -0.04558618366718292, -0.04542548954486847, -0.04521457850933075, -0.045003678649663925, -0.04476263374090195, -0.044501516968011856, -0.044230349361896515, -0.043989311903715134, -0.0437382273375988, -0.043517276644706726, -0.043306365609169006, -0.043065331876277924, -0.042854420840740204, -0.04264352098107338, -0.04243260994553566, -0.04226187616586685, -0.042091142386198044, -0.04191036522388458, -0.04175971448421478, -0.041588980704545975, -0.04145842045545578, -0.04130776971578598, -0.04115711897611618, -0.04101651906967163, -0.04084578529000282, -0.04068509116768837, -0.04052439704537392, -0.040363702923059464, -0.040223103016614914, -0.04009253531694412, -0.03997201845049858, -0.039841461926698685, -0.03970085084438324, -0.0395803339779377, -0.039419639855623245, -0.03928907960653305, -0.03911834582686424, -0.03895765170454979, -0.03878691792488098, -0.03857601061463356, -0.038385190069675446, -0.03818432241678238, -0.03799350559711456, -0.03784285485744476, -0.03771229460835457, -0.037611860781908035, -0.03758173808455467, -0.03754156082868576, -0.0375114269554615, -0.03750138357281685, -0.03750138357281685, -0.03750138357281685, -0.037531521171331406, -0.037672121077775955, -0.0378127284348011, -0.0379633828997612, -0.03816423937678337, -0.0383952334523201, -0.03861618414521217, -0.038867272436618805, -0.03908822312951088, -0.03930916264653206, -0.03952007368206978, -0.03970085084438324, -0.03989167883992195, -0.040042318403720856, -0.040192969143390656, -0.0403335802257061, -0.04047418013215065, -0.0406348742544651, -0.04082569107413292, -0.04098638519644737, -0.041177209466695786, -0.04134794697165489, -0.0415186807513237, -0.04171953722834587, -0.04189027473330498, -0.0421011820435524, -0.04231209307909012, -0.04252300411462784, -0.04276403784751892, -0.043005071580410004, -0.04321598261594772, -0.0434369333088398, -0.043607667088508606, -0.04376836121082306, -0.04391900449991226, -0.0440395213663578, -0.04416004940867424, -0.04427052289247513, -0.044370949268341064, -0.044461339712142944, -0.04455173388123512, -0.04463207721710205, -0.04466221109032631, -0.0447726845741272, -0.04480281099677086, -0.04490324482321739, -0.044933367520570755, -0.04504384472966194, -0.045063938945531845, -0.045144278556108475, -0.04516436159610748, -0.045184455811977386, -0.045184455811977386, -0.045204538851976395, -0.045204538851976395, -0.045204538851976395, -0.045224629342556, -0.045224629342556, -0.045224629342556, -0.045224629342556, -0.045184455811977386, -0.045184455811977386, -0.04501371830701828)"
"2016-01-28 10:43:09:663280" new_letter "score: 0.541129529476"
"2016-01-28 10:43:09:663676" learn:r "(0.059305813163518906, 0.06853780150413513, 0.07422782480716705, 0.0746774971485138, 0.08831677585840225, 0.10358346253633499, 0.11746606975793839, 0.12361623346805573, 0.1368294656276703, 0.13499149680137634, 0.13445506989955902, 0.13049785792827606, 0.12372639030218124, 0.12804587185382843, 0.14766059815883636, 0.16198450326919556, 0.1605849713087082, 0.16629301011562347, 0.19217059016227722, 0.21097299456596375, 0.22045184671878815, 0.2340855449438095, 0.2546658217906952, 0.27615758776664734, 0.2874891757965088, 0.3090831935405731, 0.33319446444511414, 0.34587520360946655, 0.3529438078403473, 0.35023289918899536, 0.3629339933395386, 0.3778776228427887, 0.3873034119606018, 0.38352033495903015, 0.36899852752685547, 0.3592623174190521, 0.34209582209587097, 0.3185361921787262, 0.29262152314186096, 0.27544358372688293, 0.2495507299900055, 0.2261337786912918, 0.21817269921302795, 0.20742303133010864, 0.19734658300876617, 0.19756610691547394, 0.20285789668560028, 0.20301519334316254, 0.20120395720005035, 0.20091921091079712, 0.20173560082912445, 0.2090456634759903, 0.21321232616901398, 0.2198229283094406, 0.22811193764209747, 0.24581345915794373, 0.26479509472846985, 0.2928430438041687, 0.3113507032394409, 0.32518133521080017, 0.3413664996623993, 0.35993996262550354, 0.372991681098938, 0.37947550415992737, 0.3897255063056946, 0.40216049551963806, 0.41117390990257263, 0.4362049996852875, 0.4474778175354004, 0.4878675937652588, 0.13298898935317993, 0.13529609143733978, 0.13556119799613953, 0.13820108771324158, 0.14911554753780365, 0.15474261343479156, 0.16184964776039124, 0.16619935631752014, 0.1856141984462738, 0.20004869997501373, 0.2061813473701477, 0.22087347507476807, 0.22654342651367188, 0.23081691563129425, 0.23513410985469818, 0.24270445108413696, 0.25536370277404785, 0.2690752446651459, 0.28942903876304626, 0.32417747378349304, 0.3511386811733246, 0.3837815523147583, 0.4040205478668213, 0.4222308099269867, 0.4397731125354767, 0.45578286051750183, 0.47328025102615356, 0.4929209351539612, 0.5165444612503052, 0.5453929305076599, 0.5731966495513916, 0.5979635119438171, 0.6255857944488525, 0.6545363068580627, 0.6805388331413269, 0.6986691951751709, 0.713981032371521, 0.7163702845573425, 0.7135351300239563, 0.7193529009819031, 0.7112077474594116, 0.7034383416175842, 0.7030575275421143, 0.7028874754905701, 0.6986872553825378, 0.6955263018608093, 0.6858351826667786, 0.6772851943969727, 0.6679496169090271, 0.6628348231315613, 0.6484580636024475, 0.6349082589149475, 0.6170343160629272, 0.6021833419799805, 0.593759298324585, 0.5940884947776794, 0.5911760926246643, 0.5898385643959045, 0.5874426364898682, 0.5872750878334045, 0.5867900252342224, 0.5865398049354553, 0.5874803066253662, 0.5874067544937134, 0.5880150198936462, 0.5875077843666077, 0.5874399542808533, 0.5918568968772888, 0.5948468446731567, 0.6100102663040161)"
"2016-01-28 10:43:09:665213" demo:e "(0.0884881317615509, 0.08857852965593338, 0.08884971588850021, 0.08887985348701477, 0.08909077942371368, 0.08911086618900299, 0.08914099633693695, 0.08917113393545151, 0.08921130746603012, 0.0893017053604126, 0.08940214663743973, 0.08954275399446487, 0.08971351385116577, 0.08995456993579865, 0.09021571278572083, 0.09049694985151291, 0.09081835299730301, 0.0911196768283844, 0.09141094982624054, 0.09171227365732193, 0.09198346734046936, 0.09224461019039154, 0.09248566627502441, 0.09270664304494858, 0.09287738800048828, 0.09303808957338333, 0.0931284949183464, 0.09316866844892502, 0.09319879114627838, 0.09319879114627838, 0.09317871183156967, 0.09305818378925323, 0.09295773506164551, 0.09280707687139511, 0.09264636784791946, 0.0924454927444458, 0.09223457425832748, 0.09203368425369263, 0.09181272238492966, 0.09160178899765015, 0.09142100065946579, 0.09123016148805618, 0.09106945991516113, 0.09090874344110489, 0.09069782495498657, 0.09051702916622162, 0.0902860164642334, 0.09007509797811508, 0.08986416459083557, 0.08963315933942795, 0.08942223340272903, 0.08919121325016022, 0.08894012123346329, 0.08867897093296051, 0.08841782063245773, 0.0881466343998909, 0.08790557831525803, 0.08768460899591446, 0.08747368305921555, 0.08729288727045059, 0.0871422290802002, 0.0869915708899498, 0.08690117299556732, 0.08681077510118484, 0.08679068833589554, 0.08679068833589554, 0.08679068833589554, 0.08679068833589554, 0.08683086931705475, 0.08697148412466049, 0.08707192540168762, 0.08721254020929337, 0.0873330682516098, 0.08743350952863693, 0.08752389997243881, 0.08756408095359802, 0.08760425448417664, 0.08764442801475525, 0.0876745656132698, 0.08770469576120377, 0.08779509365558624, 0.08788548409938812, 0.08803614974021912, 0.08824707567691803, 0.08849817514419556, 0.08881959319114685, 0.0891510397195816, 0.08948250114917755, 0.0898139476776123, 0.0901353508234024, 0.0904567688703537, 0.09074804186820984, 0.09105940908193588, 0.09134065359830856, 0.09162188321352005, 0.09189306944608688, 0.09215421974658966, 0.09240531921386719, 0.09264636784791946, 0.09289747476577759, 0.09314857423305511, 0.09338963031768799, 0.09364073723554611, 0.09385165572166443, 0.09402240812778473, 0.09430364519357681, 0.09431368112564087, -0.04310550540685654, -0.0431356318295002, -0.04326619952917099, -0.043517276644706726, -0.043547410517930984, -0.04356749355792999, -0.04356749355792999, -0.04356749355792999, -0.04353736713528633, -0.043457016348838806, -0.04342689365148544, -0.043336499482393265, -0.043306365609169006, -0.04327624291181564, -0.043256159871816635, -0.043256159871816635, -0.043256159871816635, -0.04327624291181564, -0.043306365609169006, -0.043336499482393265, -0.04344697669148445, -0.043477099388837814, -0.043607667088508606, -0.043728187680244446, -0.04385874420404434, -0.0440395213663578, -0.04421026632189751, -0.04439103975892067, -0.044581856578588486, -0.04476263374090195, -0.044943418353796005, -0.04512419551610947, -0.045294929295778275, -0.045475706458091736, -0.04563640058040619, -0.045797090977430344, -0.04593769088387489, -0.04604816809296608, -0.04617873579263687, -0.04620886221528053, -0.04633941873908043, -0.04636955261230469, -0.046459946781396866, -0.046480029821395874, -0.04651015251874924, -0.04659050703048706, -0.04659050703048706, -0.04661059007048607, -0.046630680561065674, -0.046630680561065674, -0.046630680561065674, -0.046620629727840424, -0.04659050703048706, -0.04650011286139488, -0.046419769525527954, -0.04637959599494934, -0.04623899608850479, -0.046158645302057266, -0.04602808505296707, -0.045917607843875885, -0.045766957104206085, -0.04560626298189163, -0.04546566307544708, -0.04528488963842392, -0.045144278556108475, -0.04498358443379402, -0.044812850654125214, -0.04463207721710205, -0.044431205838918686, -0.04421026632189751, -0.04399935528635979, -0.04375831037759781, -0.04353736713528633, -0.04331641644239426, -0.04308542609214783, -0.04287451505661011, -0.042653560638427734, -0.04241252690553665, -0.04217148199677467, -0.041920408606529236, -0.04162915423512459, -0.04135798662900925, -0.041106902062892914, -0.04085582494735718, -0.0406348742544651, -0.04043400287628174, -0.040223103016614914, -0.040052369236946106, -0.03989167883992195, -0.0397309847176075, -0.03962050750851631, -0.03949999064207077, -0.039419639855623245, -0.03932925686240196, -0.03928907960653305, -0.039158523082733154, -0.03907817229628563, -0.038987789303064346, -0.03889739513397217, -0.038867272436618805, -0.03878691792488098, -0.03877687826752663, -0.03876683488488197, -0.03875679522752762, -0.03875679522752762, -0.038656361401081085, -0.03874674439430237)"
"2016-01-28 10:43:09:667343" new_letter "score: 0.178976923227"
"2016-01-28 10:43:09:667733" learn:e "(0.1886436939239502, 0.20447592437267303, 0.22218124568462372, 0.24243533611297607, 0.2600214183330536, 0.2776235342025757, 0.3006937801837921, 0.32776767015457153, 0.3610469400882721, 0.4009355306625366, 0.4444271922111511, 0.4887881278991699, 0.5303246974945068, 0.5687530636787415, 0.6015302538871765, 0.6299163103103638, 0.6505929231643677, 0.663287341594696, 0.667313277721405, 0.6660435199737549, 0.655333399772644, 0.6382700800895691, 0.6162611842155457, 0.5885272026062012, 0.5588613152503967, 0.5281746983528137, 0.4999499022960663, 0.4731336236000061, 0.44865965843200684, 0.41991597414016724, 0.39016303420066833, 0.36167535185813904, 0.33221888542175293, 0.3033175766468048, 0.27245935797691345, 0.24142615497112274, 0.2112312912940979, 0.18631914258003235, 0.1657939851284027, 0.15181691944599152, 0.14286701381206512, 0.14001840353012085, 0.14719291031360626, 0.15817542374134064, 0.16261374950408936, 0.09131486713886261, 0.09611900895833969, 0.1006927415728569, 0.10507179796695709, 0.10643664002418518, 0.10940870642662048, 0.11204157024621964, 0.12007759511470795, 0.1345159113407135, 0.15773069858551025, 0.19002535939216614, 0.22987590730190277, 0.27132347226142883, 0.3131730258464813, 0.35510605573654175, 0.39798927307128906, 0.4405119717121124, 0.48323923349380493, 0.5265966057777405, 0.5709705948829651, 0.6173803210258484, 0.6655038595199585, 0.7131707668304443, 0.7617241740226746, 0.7980071306228638, 0.42394936084747314, 0.42285582423210144, 0.4152451455593109, 0.42039528489112854, 0.42992544174194336, 0.43668678402900696, 0.4455694854259491, 0.4523463249206543, 0.4542970359325409, 0.4516053795814514, 0.4458944797515869, 0.4382595419883728, 0.4283061921596527, 0.41158679127693176, 0.3962518572807312, 0.3738786280155182, 0.3483148515224457, 0.32033565640449524, 0.2915116548538208, 0.2640209496021271, 0.23695579171180725, 0.211098313331604, 0.18753176927566528, 0.1663760393857956, 0.1495629996061325, 0.13565634191036224, 0.12353665381669998, 0.1160847470164299, 0.11029764264822006, 0.10516854375600815, 0.10358419269323349, 0.10313517600297928, 0.10477379709482193, 0.10890093445777893, 0.11683540791273117, 0.13100534677505493, 0.1443207561969757, 0.16238680481910706, 0.1815098375082016, 0.2011527419090271, 0.222493976354599, 0.24477370083332062, 0.2649877071380615, 0.2848122715950012, 0.2996171712875366, 0.27873310446739197, 0.3133282959461212, 0.34857892990112305, 0.38669270277023315, 0.42484596371650696, 0.46449342370033264, 0.5055092573165894, 0.549079418182373, 0.592278003692627, 0.633317232131958, 0.6710355281829834, 0.7078580856323242, 0.7402447462081909, 0.7706217169761658, 0.796309769153595, 0.8170024752616882, 0.8342027068138123, 0.8540314435958862, 0.869888424873352, 0.8830099701881409, 0.8925884962081909, 0.8954404592514038, 0.8937781453132629, 0.8932414650917053, 0.8796549439430237)"
"2016-01-28 10:43:09:670631" clearscreen
