


"2016-01-28 13:57:36:029657" word:cat
"2016-01-28 13:57:39:829148" clearscreen
"2016-01-28 13:57:52:878888" repetition:1
"2016-01-28 13:58:02:488005" user_feedback:-
"2016-01-28 13:58:17:463966" timeResponse:12091.0
"2016-01-28 13:58:17:464564" writeTime:7898.0
"2016-01-28 13:58:18:616064" timeResponse:12091.0
"2016-01-28 13:58:18:616315" writeTime:7898.0
"2016-01-28 13:58:19:144355" timeResponse:12091.0
"2016-01-28 13:58:19:144506" writeTime:7898.0
"2016-01-28 13:58:21:069175" new_letter "score: 0.284431010485"
