"","fformation","session","child_id","N","new_w","sd","se","ci"
"1","f2f","1","1",699,0.760064581632924,0.25047331135852,0.00947377071063499,0.0186005025603701
"2","f2f","1","2",820,0.771872551756819,0.0947078476081588,0.00330734150083332,0.00649186402560827
"3","f2f","1","3",686,0.887121213509084,0.116770243025691,0.00445830859563738,0.00875359101182112
"4","f2f","1","4",748,0.641801578013966,0.231369083100443,0.00845969151334664,0.0166075992354155
"5","f2f","1","5",745,0.933112360596847,0.108387099909304,0.00397099609276956,0.00779569126386436
"6","f2f","1","10",645,0.763359017436348,0.131799746405035,0.00518960994672225,0.0101906006689048
"7","f2f","2","6",645,0.849687977955754,0.151985823295087,0.00598443594807119,0.0117513642839285
"8","f2f","2","7",732,0.862588571749944,0.101821131705658,0.00376341731947448,0.00738839550449731
"9","f2f","2","8",544,0.917904493741435,0.0985484929422439,0.00422523177688034,0.00829980191581228
"10","f2f","2","22",446,0.686445623438567,0.147566585234927,0.0069874803284572,0.0137325594680608
"11","f2f","2","23",436,0.832446627937356,0.10445841042508,0.00500265056087802,0.00983237164237377
"12","f2f","2","24",576,0.59995101417759,0.171196168062768,0.00713317366928201,0.0140102537349829
"13","sbs","1","6",825,0.796256105431089,0.137566992955426,0.0047894679341109,0.00940099332185804
"14","sbs","1","7",757,0.475258425946637,0.200670443915661,0.00729349134043745,0.0143179028386318
"15","sbs","1","8",800,0.600576048142546,0.201235263659395,0.00711474097737106,0.0139657915905448
"16","sbs","1","22",655,0.789884678104802,0.142998837770429,0.00558742694385952,0.0109714599180053
"17","sbs","1","23",644,0.810753146527743,0.122591002749403,0.00483076224890455,0.00948597556725662
"18","sbs","1","24",862,0.538353955511821,0.210641490628898,0.00717447764207382,0.0140815126188327
"19","sbs","2","1",891,0.850230726991801,0.145931882670122,0.00488890201784809,0.0095951205551007
"20","sbs","2","2",587,0.753365241127938,0.127495855153759,0.005262317113145,0.0103352984827214
"21","sbs","2","3",453,0.772906251459862,0.16014875804645,0.00752444503447704,0.0147872366360069
"22","sbs","2","4",475,0.699864379958355,0.201654397830461,0.0092525383333003,0.0181810653828282
"23","sbs","2","5",523,0.836286356754235,0.151994171167494,0.00664624105853897,0.0130566664514861
"24","sbs","2","10",795,0.811094234608876,0.167406507596988,0.00593729697152468,0.0116546539837244
