*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-26 10:24:12:716608" activity:learning_words_nao
"2016-01-26 10:24:21:898980" word:dog
"2016-01-26 10:24:24:310095" clearscreen
"2016-01-26 10:24:37:357786" repetition:1
"2016-01-26 10:24:46:261908" user_feedback:-
"2016-01-26 10:25:27:487453" timeResponse:1892417.0
"2016-01-26 10:25:27:488822" writeTime:132620.0
"2016-01-26 10:25:28:171118" timeResponse:1892417.0
"2016-01-26 10:25:28:171284" writeTime:132620.0
"2016-01-26 10:25:29:374499" timeResponse:1892417.0
"2016-01-26 10:25:29:375872" writeTime:132620.0
