*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-25 10:15:26:229441" activity:learning_words_nao
"2016-01-25 10:15:49:631816" word:penny
"2016-01-25 10:15:53:049321" clearscreen
"2016-01-25 10:16:09:342478" repetition:1
"2016-01-25 10:17:31:700214" writeTime:2531.0
"2016-01-25 10:17:31:700840" timeResponse:78668.0
"2016-01-25 10:17:35:328810" demo:p "(0.05246010795235634, 0.05218891799449921, 0.05228935554623604, 0.05260072275996208, 0.05316318944096565, 0.053695522248744965, 0.05416759476065636, 0.054659754037857056, 0.055212173610925674, 0.0558047741651535, 0.056467682123184204, 0.05712054669857025, 0.05773323029279709, 0.05830574408173561, 0.058777812868356705, 0.059179577976465225, 0.05949094519019127, 0.05970187112689018, 0.05982239544391632, 0.05985253304243088, 0.05985253304243088, 0.0597621314227581, 0.0595913827419281, 0.05935032665729523, 0.05898873880505562, 0.058546800166368484, 0.05800442025065422, 0.057431913912296295, 0.05687948688864708, 0.056367240846157074, 0.05594538897275925, 0.05565411224961281, 0.05553358420729637, 0.05557376146316528, 0.05583490803837776, 0.056206539273262024, 0.056708741933107376, 0.0572812519967556, 0.057994380593299866, 0.05879790335893631, 0.05972195789217949, 0.0607464537024498, 0.061791036278009415, 0.06276530772447586, 0.06358891725540161, 0.0641915574669838, 0.0645330622792244, 0.06456319242715836, 0.0643823966383934, 0.06391032785177231, 0.06328760087490082, 0.06252424418926239, 0.06176089867949486, 0.060856934636831284, 0.06009358540177345, 0.059581343084573746, -0.036195769906044006, -0.03664771467447281, -0.036848582327365875, -0.03674814850091934, -0.03624598681926727, -0.035512831062078476, -0.034558724611997604, -0.033253107219934464, -0.0317365787923336, -0.030049318447709084, -0.028241541236639023, -0.02647392824292183, -0.02472640760242939, -0.023099403828382492, -0.021643146872520447, -0.020347561687231064, -0.01924281381070614, -0.01831883005797863, -0.017605768516659737, -0.017083514481782913, -0.016812356188893318, -0.016671745106577873, -0.01670187897980213, -0.016983089968562126, -0.017485251650214195, -0.018288707360625267, -0.019373372197151184, -0.02081959880888462, -0.022547036409378052, -0.024636024609208107, -0.026925871148705482, -0.02944672293961048, -0.03198765590786934, -0.03435785695910454, -0.03649706020951271, -0.038244590163230896, -0.03971090167760849, -0.04083574190735817, -0.04175971448421478, -0.04241252690553665, -0.04282429814338684, -0.042984988540410995, -0.04288455471396446, -0.04252300411462784, -0.04187019169330597, -0.040966302156448364, -0.039931852370500565, -0.03887731209397316, -0.03785290569067001, -0.03699922189116478, -0.03623594343662262, -0.03563334792852402, -0.03511110320687294, -0.03481985256075859, -0.034618981182575226, -0.03457880765199661)"
"2016-01-25 10:17:35:329491" learn:p "(0.010739154182374477, 0.010871768929064274, 0.012118465267121792, 0.015579985454678535, 0.022889645770192146, 0.03570035472512245, 0.04841187223792076, 0.060232214629650116, 0.07201676070690155, 0.0837830901145935, 0.09707934409379959, 0.11049839854240417, 0.12429989874362946, 0.1381162852048874, 0.1509152352809906, 0.16263696551322937, 0.17283087968826294, 0.1807861626148224, 0.18705809116363525, 0.19302743673324585, 0.1966913640499115, 0.19869191944599152, 0.19816121459007263, 0.19550275802612305, 0.19150707125663757, 0.18670551478862762, 0.18034633994102478, 0.1729605793952942, 0.16485276818275452, 0.1564720720052719, 0.1477501392364502, 0.1391638219356537, 0.13100281357765198, 0.12362099438905716, 0.1165449246764183, 0.10884260386228561, 0.10276678949594498, 0.09759844839572906, 0.09043391793966293, 0.09577648341655731, 0.10828028619289398, 0.12272288650274277, 0.1407257467508316, 0.160820871591568, 0.1817074865102768, 0.20477867126464844, 0.2283690720796585, 0.25214439630508423, 0.2761780619621277, 0.29989731311798096, 0.3235678970813751, 0.3456419110298157, 0.36543047428131104, 0.3820647597312927, 0.3927288353443146, 0.3974083662033081, 0.3965916037559509, 0.3911551237106323, 0.3805510103702545, 0.36415886878967285, 0.34254780411720276, 0.3156181871891022, 0.2853892743587494, 0.25390276312828064, 0.22251799702644348, 0.19591623544692993, 0.17418843507766724, 0.15814226865768433, 0.15193282067775726, 0.15924686193466187, 0.21265865862369537, 0.2180124819278717, 0.2289702594280243, 0.24544157087802887, 0.26715123653411865, 0.29462090134620667, 0.3270493745803833, 0.3624200224876404, 0.40182965993881226, 0.4445096254348755, 0.4896111786365509, 0.5365614891052246, 0.5844923257827759, 0.6332668662071228, 0.6810492873191833, 0.7278558611869812, 0.7720182538032532, 0.8130645155906677, 0.8512857556343079, 0.8863309025764465, 0.9174942970275879, 0.9436811208724976, 0.9651541113853455, 0.9810064435005188, 0.992321252822876, 0.9972471594810486, 0.997377336025238, 0.9923057556152344, 0.9836257696151733, 0.9696646332740784, 0.9507010579109192, 0.9248669147491455, 0.8942689895629883, 0.8591997623443604, 0.7319737076759338, 0.6889517903327942, 0.6426151394844055, 0.566903293132782, 0.3910312354564667, 0.3378097116947174, 0.2404259592294693, 0.19308257102966309, 0.15148335695266724, 0.11616968363523483, 0.08740194886922836, 0.06711068004369736, 0.05490352585911751, 0.050492286682128906, 0.05105769261717796, 0.05781983584165573, 0.06754697859287262, 0.08110719174146652, 0.09699054807424545, 0.11528659611940384, 0.13541357219219208, 0.15877372026443481, 0.18524345755577087, 0.21246305108070374, 0.23911522328853607, 0.26393651962280273, 0.28631502389907837, 0.3041834235191345, 0.31949421763420105, 0.33090442419052124, 0.3397209644317627, 0.34429267048835754, 0.34586307406425476, 0.34589219093322754, 0.343788743019104, 0.340946227312088)"
"2016-01-25 10:17:35:331101" new_letter "score: 0.362037748098"
"2016-01-25 10:17:35:335308" learn:e "(0.010936368256807327, 0.008189478889107704, 0.006914784200489521, 0.010955999605357647, 0.017707189545035362, 0.03390133008360863, 0.052141159772872925, 0.08409146219491959, 0.1182425394654274, 0.15503047406673431, 0.19194288551807404, 0.23068541288375854, 0.2699957489967346, 0.30876511335372925, 0.3474201560020447, 0.38413944840431213, 0.41972658038139343, 0.45208629965782166, 0.4828510582447052, 0.5074528455734253, 0.5286774635314941, 0.5442772507667542, 0.5553314089775085, 0.5618751645088196, 0.5649333596229553, 0.5623241066932678, 0.5564557313919067, 0.5468900799751282, 0.5340147614479065, 0.5176389813423157, 0.4977076053619385, 0.4745153486728668, 0.44712355732917786, 0.41783830523490906, 0.38594579696655273, 0.35372763872146606, 0.32074129581451416, 0.28840452432632446, 0.25772735476493835, 0.22869132459163666, 0.20246762037277222, 0.1792704463005066, 0.1602010279893875, 0.1442408561706543, 0.13361592590808868, 0.12716244161128998, 0.12588150799274445, 0.12814649939537048, 0.13598883152008057, 0.14741724729537964, 0.16421197354793549, 0.18380969762802124, 0.20882469415664673, 0.2360014021396637, 0.26824092864990234, 0.301632285118103, 0.34068092703819275, 0.38036593794822693, 0.425194650888443, 0.4700734317302704, 0.518351674079895, 0.5671131014823914, 0.6185795664787292, 0.6722322106361389, 0.7258813977241516, 0.7791208624839783, 0.837271511554718, 0.8915572762489319, 0.9442176222801208, 1.0, 0.4994848668575287, 0.5008599162101746, 0.504263699054718, 0.5004782676696777, 0.4934339225292206, 0.48384249210357666, 0.4733377695083618, 0.46383076906204224, 0.4535292088985443, 0.43927955627441406, 0.4235091805458069, 0.40567028522491455, 0.3852025270462036, 0.3624996244907379, 0.338615357875824, 0.3138464689254761, 0.2886858582496643, 0.2627965807914734, 0.23687410354614258, 0.21043360233306885, 0.1848042607307434, 0.16001905500888824, 0.13620567321777344, 0.11444102227687836, 0.0941835567355156, 0.07486135512590408, 0.05824723467230797, 0.043734170496463776, 0.031223569065332413, 0.021356722339987755, 0.013749995268881321, 0.009860972873866558, 0.008320817723870277, 0.011275826953351498, 0.020172495394945145, 0.03316900506615639, 0.049847375601530075, 0.07124199718236923, 0.09715162962675095, 0.12619516253471375, 0.15870331227779388, 0.192660853266716, 0.2286868542432785, 0.26589447259902954, 0.3038749694824219, 0.3420928418636322, 0.38007715344429016, 0.4171414375305176, 0.4539698660373688, 0.48908576369285583, 0.5213267803192139, 0.5524747371673584, 0.5793367624282837, 0.6036847233772278, 0.624596893787384, 0.6427024006843567, 0.6566628217697144, 0.6684335470199585, 0.6767961382865906, 0.6808286309242249, 0.6816953420639038, 0.6805167198181152, 0.6761153340339661, 0.6704300045967102, 0.6582717299461365, 0.6441250443458557, 0.6290460824966431, 0.6107668876647949, 0.5895028710365295, 0.5750342607498169)"
"2016-01-25 10:17:35:335478" new_letter "score: 0.273031890392"
"2016-01-25 10:17:35:336446" demo:e "(0.07395438849925995, 0.07370328158140182, 0.07370328158140182, 0.07395438849925995, 0.07478804141283035, 0.07571209222078323, 0.0767667219042778, 0.07786152511835098, 0.0789261907339096, 0.079910509288311, 0.08067385852336884, 0.08118610829114914, 0.08146733790636063, 0.08148742467164993, 0.08128654956817627, 0.08085464686155319, 0.08015156537294388, 0.07927773147821426, 0.07831349968910217, 0.07732918858528137, 0.0764453113079071, 0.07565183192491531, 0.07500901073217392, 0.07454698532819748, 0.07435614615678787, 0.0744365006685257, 0.07481817156076431, 0.07545094937086105, 0.07632478326559067, 0.07741957902908325, 0.0787152647972107, 0.08019173890352249, 0.08174857497215271, 0.08344601839780807, 0.08518364280462265, -0.038365110754966736, -0.038365110754966736, -0.03864631801843643, -0.03907817229628563, -0.039429690688848495, -0.039861541241407394, -0.040363702923059464, -0.04092612490057945, -0.04146846383810043, -0.04201079159975052, -0.04252300411462784, -0.04299503192305565, -0.043457016348838806, -0.04390896111726761, -0.044310688972473145, -0.044642116874456406, -0.04486306756734848, -0.04489320144057274, -0.044812850654125214, -0.044521600008010864, -0.044049572199583054, -0.04341684281826019, -0.04267364367842674, -0.041860148310661316, -0.04098638519644737, -0.04016284644603729, -0.03939955681562424, -0.038736701011657715, -0.03821445629000664, -0.0378127284348011, -0.03754156082868576, -0.037350744009017944, -0.03737082704901695, -0.03750138357281685, -0.037762511521577835)"
"2016-01-25 10:17:35:339498" new_letter "score: 0.347729086876"
"2016-01-25 10:17:35:340241" learn:n "(0.09828030318021774, 0.07236000895500183, 0.04828781262040138, 0.03414180129766464, 0.024926211684942245, 0.0170096755027771, 0.014761202968657017, 0.016206063330173492, 0.01846659556031227, 0.023453732952475548, 0.031030064448714256, 0.03945735841989517, 0.048164162784814835, 0.056714270263910294, 0.06530728191137314, 0.07420185953378677, 0.08311466127634048, 0.08983254432678223, 0.09470795094966888, 0.09750114381313324, 0.10169008374214172, 0.1065143495798111, 0.10863059759140015, 0.10846550762653351, 0.10943126678466797, 0.11236830055713654, 0.11861921846866608, 0.12506327033042908, 0.13227346539497375, 0.14245428144931793, 0.1548776626586914, 0.17123910784721375, 0.1887565702199936, 0.20866189897060394, 0.23109403252601624, 0.2559013068675995, 0.28226858377456665, 0.3105745017528534, 0.3404921293258667, 0.37109923362731934, 0.4031739830970764, 0.43617475032806396, 0.47028449177742004, 0.5041270852088928, 0.5376604795455933, 0.571173369884491, 0.6045377254486084, 0.6364293694496155, 0.6673007011413574, 0.6956319808959961, 0.7223733067512512, 0.7467676997184753, 0.7677263617515564, 0.7866089940071106, 0.8015453219413757, 0.8147032260894775, 0.8241848945617676, 0.8320909142494202, 0.8376864194869995, 0.8418990969657898, 0.8447843194007874, 0.8494587540626526, 0.8537724018096924, 0.8576936721801758, 0.8654230237007141, 0.8762122392654419, 0.887254536151886, 0.899747371673584, 0.9194108247756958, 0.9409012794494629, 0.25779569149017334, 0.27996912598609924, 0.3043077290058136, 0.35253408551216125, 0.4073202311992645, 0.4627182185649872, 0.5200451016426086, 0.5754215717315674, 0.6328590512275696, 0.6812325716018677, 0.7303130626678467, 0.7770571708679199, 0.822204053401947, 0.8611021041870117, 0.8967700600624084, 0.924393892288208, 0.9491173624992371, 0.965055525302887, 0.9762062430381775, 0.9792830348014832, 0.9769928455352783, 0.9694852232933044, 0.953595757484436, 0.9324305653572083, 0.9036008715629578, 0.8708193898200989, 0.8303585648536682, 0.7845974564552307, 0.7330567240715027, 0.6754732131958008, 0.6156792640686035, 0.5506081581115723, 0.4853295385837555, 0.42050814628601074, 0.3580319285392761, 0.29831594228744507, 0.24271303415298462, 0.19141101837158203, 0.1485133320093155, 0.10953518003225327, 0.07808401435613632, 0.05150124803185463, 0.032282233238220215, 0.018152492120862007, 0.007690511643886566, 0.006489763502031565, 0.010767241939902306, 0.02201179787516594, 0.03767167031764984, 0.06230812147259712, 0.09236297756433487, 0.1276320517063141, 0.16853120923042297, 0.2120414674282074, 0.2616465091705322, 0.31265121698379517, 0.3662266433238983, 0.4199620485305786, 0.4742834270000458, 0.5290849804878235, 0.5835726261138916, 0.6365060806274414, 0.6869038343429565, 0.7351125478744507, 0.7830879092216492, 0.8316592574119568, 0.8770508766174316, 0.9189439415931702, 0.949608325958252, 0.9782748222351074)"
"2016-01-25 10:17:35:339316" demo:n "(0.0927869901061058, 0.09198346734046936, 0.09141094982624054, 0.09117993712425232, 0.09117993712425232, 0.09118998795747757, 0.0912703424692154, 0.09137077629566193, 0.09150135517120361, 0.0916319191455841, 0.09175244718790054, 0.09179262816905975, 0.09189306944608688, 0.09189306944608688, 0.09192320704460144, 0.09202364087104797, 0.09216426312923431, 0.09236513823270798, 0.09265641123056412, 0.09298787266016006, 0.09339968115091324, 0.09385165572166443, 0.09432372450828552, 0.09482593089342117, 0.09534822404384613, 0.09585043042898178, 0.09637271612882614, 0.09686487913131714, 0.09728673100471497, 0.09764830768108368, 0.09791950136423111, 0.09810029715299606, 0.0982208251953125, 0.09830117970705032, 0.09834135323762894, 0.09845183789730072, 0.09853219240903854, 0.09875316172838211, 0.09899421781301498, 0.0993558019399643, -0.04468229413032532, -0.04440108314156532, -0.04397926107048988, -0.04322602599859238, -0.042392436414957047, -0.04145842045545578, -0.040464140474796295, -0.03952007368206978, -0.03871661797165871, -0.03810398280620575, -0.037672121077775955, -0.03745116665959358, -0.037350744009017944, -0.037431083619594574, -0.037641994655132294, -0.03804372251033783, -0.03863626718521118, -0.03943973407149315, -0.040403880178928375, -0.04141824692487717, -0.04241252690553665, -0.04332645982503891, -0.04405961185693741, -0.04465215653181076, -0.045084018260240555, -0.045355189591646194, -0.04544557258486748, -0.045415446162223816, -0.04516436159610748, -0.04476263374090195, -0.04422030597925186, -0.04352731630206108, -0.042753998190164566, -0.041940491646528244, -0.041086819022893906, -0.04026326909661293, -0.03949999064207077, -0.03866640105843544, -0.03792320564389229, -0.0373607836663723)"
"2016-01-25 10:17:35:342702" demo:y "(0.13959228992462158, 0.13959228992462158, 0.1394617110490799, 0.1393512338399887, 0.1393512338399887, 0.1393512338399887, 0.13936127722263336, 0.139521986246109, 0.13975298404693604, 0.14008444547653198, 0.1404661238193512, 0.14091810584068298, 0.14135000109672546, 0.14185220003128052, 0.1423041820526123, 0.1427963376045227, 0.14325837790966034, 0.1437806636095047, 0.1442929208278656, 0.14484533667564392, 0.14541785418987274, 0.14596021175384521, 0.14648251235485077, 0.14695458114147186, 0.14735634624958038, 0.14770789444446564, 0.14802929759025574, 0.14834065735340118, 0.14865203201770782, 0.14896339178085327, 0.14928480982780457, 0.14958612620830536, 0.14986735582351685, 0.15011847019195557, 0.1503293812274933, 0.15051017701625824, 0.15066084265708923, 0.1507713347673416, 0.1508617252111435, 0.15087176859378815, 0.15087176859378815, 0.15085168182849884, 0.1506909728050232, 0.15051017701625824, 0.1502189040184021, 0.14984726905822754, 0.14939528703689575, 0.14886295795440674, 0.14826031029224396, 0.14757731556892395, 0.14680391550064087, 0.14601044356822968, 0.1452571302652359, 0.1446143239736557, 0.1441221535205841, 0.14379070699214935, 0.1436099112033844, 0.1436099112033844, 0.14377062022686005, 0.1441422551870346, 0.1447448879480362, 0.1455584615468979, 0.14654278755187988, 0.14766772091388702, 0.149063840508461, 0.15066084265708923, -0.04340679943561554, -0.04393909499049187, -0.04414999485015869, -0.044109832495450974, -0.04376836121082306, -0.04331641644239426, -0.04278412088751793, -0.04211122542619705, -0.04138810932636261, -0.04064491391181946, -0.039982061833143234, -0.03943973407149315, -0.039068128913640976, -0.038807012140750885, -0.03872666135430336, -0.03872666135430336, -0.03889739513397217, -0.03917860612273216, -0.039630550891160965, -0.040213052183389664, -0.04095625877380371, -0.04176975414156914, -0.04257320985198021, -0.043306365609169006, -0.04393909499049187, -0.04442116618156433, -0.04478272795677185, -0.04498358443379402, -0.04498358443379402, -0.04484298452734947, -0.044461339712142944, -0.04385874420404434, -0.043005071580410004, -0.04187019169330597, -0.04052439704537392, -0.03893757238984108, -0.037169959396123886, -0.03537221997976303, -0.033494140952825546, -0.031706444919109344, -0.02997901849448681, -0.028311841189861298, -0.026795312762260437, -0.0253591388463974, -0.02408364601433277, -0.02300902269780636, -0.022135255858302116, -0.02146236039698124, -0.021000374108552933, -0.020709123462438583, -0.020588604733347893, -0.020588604733347893, -0.020749298855662346, -0.021000374108552933, -0.021341843530535698, -0.021833963692188263, -0.022456642240285873, -0.02321993187069893, -0.02408364601433277, -0.025007618591189384, -0.025991858914494514, -0.027026306837797165, -0.02806076407432556, -0.02917555347084999, -0.03024013713002205, -0.031334854662418365)"
