*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-N-E-W- -S-E-S-S-I-O-N-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*-*
"2016-01-28 14:33:09:666643" activity:learning_words_nao
"2016-01-28 14:33:19:806831" word:box
"2016-01-28 14:33:23:174317" clearscreen
"2016-01-28 14:33:36:030846" repetition:1
"2016-01-28 14:33:52:151649" user_feedback:-
"2016-01-28 14:34:00:968576" word:cat
"2016-01-28 14:34:04:982373" clearscreen
"2016-01-28 14:34:17:837935" repetition:1
"2016-01-28 14:34:52:448375" timeResponse:18547.0
"2016-01-28 14:34:52:451270" writeTime:12787.0
